time_ms,s1_c01,s1_c02,s1_c03,s1_c04,s1_c05,s1_c06,s1_c07,s1_c08,s1_c09,s1_c10,s1_c11,s1_c12,s1_c13,s1_c14,s1_c15,s1_c16,s2_c01,s2_c02,s2_c03,s2_c04,s2_c05,s2_c06,s2_c07,s2_c08,s2_c09,s2_c10,s2_c11,s2_c12,s2_c13,s2_c14,s2_c15,s2_c16,s3_c01,s3_c02,s3_c03,s3_c04,s3_c05,s3_c06,s3_c07,s3_c08,s3_c09,s3_c10,s3_c11,s3_c12,s3_c13,s3_c14,s3_c15,s3_c16,s4_c01,s4_c02,s4_c03,s4_c04,s4_c05,s4_c06,s4_c07,s4_c08,s4_c09,s4_c10,s4_c11,s4_c12,s4_c13,s4_c14,s4_c15,s4_c16,s5_c01,s5_c02,s5_c03,s5_c04,s5_c05,s5_c06,s5_c07,s5_c08,s5_c09,s5_c10,s5_c11,s5_c12,s5_c13,s5_c14,s5_c15,s5_c16,s6_c01,s6_c02,s6_c03,s6_c04,s6_c05,s6_c06,s6_c07,s6_c08,s6_c09,s6_c10,s6_c11,s6_c12,s6_c13,s6_c14,s6_c15,s6_c16,s7_c01,s7_c02,s7_c03,s7_c04,s7_c05,s7_c06,s7_c07,s7_c08,s7_c09,s7_c10,s7_c11,s7_c12,s7_c13,s7_c14,s7_c15,s7_c16,s8_c01,s8_c02,s8_c03,s8_c04,s8_c05,s8_c06,s8_c07,s8_c08,s8_c09,s8_c10,s8_c11,s8_c12,s8_c13,s8_c14,s8_c15,s8_c16
0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3452.5,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3452.5,1963.0,2089.0,2562.5,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3500.0,3500.0,3500.0,3452.4,3500.0,3500.0,3500.0,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3452.4,2253.4,1837.0,1726.2,3500.0,2562.5,2089.0,1963.0,768.3,824.9,1039.9,1204.5,633.3,676.8,838.5,1318.5,600.2,639.1,781.5,1182.7,644.2,683.6,824.9,1204.0,1204.5,1039.9,824.9,768.3,1318.5,838.5,676.8,633.3,1182.7,781.5,639.1,600.2,1204.0,824.9,683.6,644.2,1204.5,1171.0,1171.0,1204.5,1218.5,2162.3,2162.3,2350.3,1218.5,2029.9,2029.9,2298.7,1385.6,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,1218.5,2298.7,2029.9,2029.9,1218.5,2423.0,2158.1,2158.1,1385.6
103,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3452.5,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3452.5,1963.0,2089.0,2562.5,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3500.0,3500.0,3500.0,3452.4,3500.0,3500.0,3500.0,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3452.4,2253.4,1837.0,1726.2,3500.0,2562.5,2089.0,1963.0,867.6,931.6,1171.0,1204.5,715.2,764.3,947.0,1489.0,677.8,721.8,882.6,1335.7,727.6,772.0,931.6,1359.7,1204.5,1171.0,931.6,867.6,1489.0,947.0,764.3,715.2,1335.7,882.6,721.8,677.8,1359.7,931.6,772.0,727.6,1204.5,1171.0,1171.0,1204.5,1376.1,2162.3,2162.3,2350.3,1376.1,2029.9,2029.9,2298.7,1564.9,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,1376.1,2298.7,2029.9,2029.9,1376.1,2423.0,2158.1,2158.1,1564.9
207,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3452.5,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3452.5,1963.0,2089.0,2562.5,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3500.0,3500.0,3500.0,3452.4,3500.0,3500.0,3500.0,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3452.4,2253.4,1837.0,1726.2,3500.0,2562.5,2089.0,1963.0,966.6,1037.9,1171.0,1204.5,796.8,851.5,1055.0,1658.9,755.1,804.2,983.3,1488.1,810.6,860.0,1037.9,1514.9,1204.5,1171.0,1037.9,966.6,1658.9,1055.0,851.5,796.8,1488.1,983.3,804.2,755.1,1514.9,1037.9,860.0,810.6,1204.5,1171.0,1171.0,1204.5,1533.1,2162.3,2162.3,2350.3,1533.1,2029.9,2029.9,2298.7,1743.4,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,1533.1,2298.7,2029.9,2029.9,1533.1,2423.0,2158.1,2158.1,1743.4
308,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3452.5,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3452.5,1963.0,2089.0,2562.5,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3500.0,3500.0,3500.0,3452.4,3500.0,3500.0,3500.0,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3452.4,2253.4,1837.0,1726.2,3500.0,2562.5,2089.0,1963.0,1063.8,1142.2,1171.0,1204.5,876.9,937.1,1161.1,1825.6,831.0,885.0,1082.1,1637.7,892.0,946.5,1142.2,1667.1,1204.5,1171.0,1142.2,1063.8,1825.6,1161.1,937.1,876.9,1637.7,1082.1,885.0,831.0,1667.1,1142.2,946.5,892.0,1204.5,1171.0,1171.0,1204.5,1687.2,2162.3,2162.3,2350.3,1687.2,2029.9,2029.9,2298.7,1918.6,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,1687.2,2298.7,2029.9,2029.9,1687.2,2423.0,2158.1,2158.1,1918.6
409,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3452.5,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3452.5,1963.0,2089.0,2562.5,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3500.0,3500.0,3500.0,3452.4,3500.0,3500.0,3500.0,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3452.4,2253.4,1837.0,1726.2,3500.0,2562.5,2089.0,1963.0,1161.5,1171.0,1171.0,1204.5,957.4,1023.2,1267.7,1993.3,907.3,966.2,1181.5,1788.1,973.9,1033.4,1247.0,1820.2,1204.5,1171.0,1171.0,1161.5,1993.3,1267.7,1023.2,957.4,1788.1,1181.5,966.2,907.3,1820.2,1247.0,1033.4,973.9,1204.5,1171.0,1171.0,1204.5,1842.1,2162.3,2162.3,2350.3,1842.1,2029.9,2029.9,2298.7,2094.8,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,1842.1,2298.7,2029.9,2029.9,1842.1,2423.0,2158.1,2158.1,2094.8
513,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3452.5,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3452.5,1963.0,2089.0,2562.5,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3500.0,3500.0,3500.0,3452.4,3500.0,3500.0,3500.0,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3452.4,2253.4,1837.0,1726.2,3500.0,2562.5,2089.0,1963.0,1204.5,1171.0,1171.0,1204.5,1039.4,1110.8,1376.3,2164.0,985.1,1049.0,1282.7,1941.2,1057.4,1121.9,1353.9,1976.1,1204.5,1171.0,1171.0,1204.5,2164.0,1376.3,1110.8,1039.4,1941.2,1282.7,1049.0,985.1,1976.1,1353.9,1121.9,1057.4,1204.5,1171.0,1171.0,1204.5,2000.0,2162.3,2162.3,2350.3,2000.0,2029.9,2029.9,2298.7,2274.3,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2000.0,2298.7,2029.9,2029.9,2000.0,2423.0,2158.1,2158.1,2274.3
616,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3452.5,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3452.5,1963.0,2089.0,2562.5,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3500.0,3500.0,3500.0,3452.4,3500.0,3500.0,3500.0,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3452.4,2253.4,1837.0,1726.2,3500.0,2562.5,2089.0,1963.0,1204.5,1171.0,1171.0,1204.5,1120.8,1197.8,1484.1,2333.6,1062.3,1131.2,1383.2,2093.3,1140.2,1209.8,1459.9,2131.0,1204.5,1171.0,1171.0,1204.5,2333.6,1484.1,1197.8,1120.8,2093.3,1383.2,1131.2,1062.3,2131.0,1459.9,1209.8,1140.2,1204.5,1171.0,1171.0,1204.5,2156.6,2162.3,2162.3,2350.3,2156.6,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2156.6,2298.7,2029.9,2029.9,2156.6,2423.0,2158.1,2158.1,2423.0
717,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3452.5,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3452.5,1963.0,2089.0,2562.5,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3500.0,3500.0,3500.0,3452.4,3500.0,3500.0,3500.0,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3452.4,2253.4,1837.0,1726.2,3500.0,2562.5,2089.0,1963.0,1204.5,1171.0,1171.0,1204.5,1201.2,1283.7,1590.5,2350.3,1138.4,1212.3,1482.3,2243.4,1222.0,1296.6,1564.6,2283.7,1204.5,1171.0,1171.0,1204.5,2350.3,1590.5,1283.7,1201.2,2243.4,1482.3,1212.3,1138.4,2283.7,1564.6,1296.6,1222.0,1204.5,1171.0,1171.0,1204.5,2311.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2311.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0
818,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3452.5,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3452.5,1963.0,2089.0,2562.5,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3500.0,3500.0,3500.0,3452.4,3500.0,3500.0,3500.0,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3452.4,2253.4,1837.0,1726.2,3500.0,2562.5,2089.0,1963.0,1204.5,1171.0,1171.0,1204.5,1281.1,1369.1,1696.3,2350.3,1214.1,1292.9,1580.9,2321.6,1303.2,1382.8,1668.7,2435.6,1204.5,1171.0,1171.0,1204.5,2350.3,1696.3,1369.1,1281.1,2321.6,1580.9,1292.9,1214.1,2435.6,1668.7,1382.8,1303.2,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0
921,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3452.5,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3452.5,1963.0,2089.0,2562.5,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3500.0,3500.0,3500.0,3452.4,3500.0,3500.0,3500.0,3500.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3452.4,2253.4,1837.0,1726.2,3500.0,2562.5,2089.0,1963.0,1204.5,1171.0,1171.0,1204.5,1362.4,1456.0,1804.0,2350.3,1291.2,1375.0,1681.3,2321.6,1385.9,1470.5,1774.6,2539.0,1204.5,1171.0,1171.0,1204.5,2350.3,1804.0,1456.0,1362.4,2321.6,1681.3,1375.0,1291.2,2539.0,1774.6,1470.5,1385.9,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0
