local_time_s,sid,cell,valid,x_mm,y_mm,z_mm,target_status,sensor_ts_ms
1772481360.651,4,0,1,661.20,-941.70,164.10,5,2379020
1772481360.651,4,1,1,785.90,-771.60,177.50,5,2379020
1772481360.651,4,2,1,864.20,-584.80,188.20,5,2379020
1772481360.651,4,3,1,1090.20,-417.10,115.10,5,2379020
1772481360.651,4,4,1,1205.00,-1650.50,276.80,5,2379020
1772481360.651,4,5,1,1666.70,-1447.50,252.50,5,2379020
1772481360.651,4,6,1,1236.80,-739.20,348.90,5,2379020
1772481360.651,4,7,1,1773.20,-507.00,288.10,255,2379020
1772481360.651,4,8,1,1184.50,-1623.80,722.10,5,2379020
1772481360.651,4,9,1,928.10,-880.70,628.30,5,2379020
1772481360.651,4,10,1,1185.50,-717.90,647.10,10,2379020
1772481360.651,4,11,1,1267.00,-440.30,648.00,10,2379020
1772481360.651,4,12,1,675.80,-960.80,849.10,5,2379020
1772481360.651,4,13,1,881.90,-845.30,875.90,5,2379020
1772481360.651,4,14,1,1737.30,-946.50,1206.60,5,2379020
1772481360.651,4,15,1,2682.20,-626.70,1553.30,255,2379020
1772481360.652,5,0,1,312.80,-2006.40,1772.50,5,2364918
1772481360.652,5,1,1,-196.00,-2059.60,1731.60,5,2364918
1772481360.652,5,2,1,-696.90,-2090.60,1738.60,5,2364918
1772481360.652,5,3,1,-1206.80,-2019.10,1775.70,5,2364918
1772481360.652,5,4,1,358.00,-2019.30,1218.20,5,2364918
1772481360.652,5,5,1,-243.00,-1606.00,1217.10,5,2364918
1772481360.652,5,6,1,-716.80,-2147.90,1194.00,5,2364918
1772481360.652,5,7,1,-1263.60,-2060.00,1216.80,5,2364918
1772481360.652,5,8,1,420.20,-2067.60,627.30,5,2364918
1772481360.652,5,9,1,-268.20,-1351.10,875.10,5,2364918
1772481360.652,5,10,1,-614.40,-1304.80,889.80,5,2364918
1772481360.652,5,11,1,-922.90,-1172.40,920.00,5,2364918
1772481360.652,5,12,1,135.00,-1332.30,422.10,10,2364918
1772481360.652,5,13,1,-217.40,-1636.90,273.50,5,2364918
