local_time_s,sid,cell,x_mm,y_mm,z_mm,target_status,sensor_ts_ms
1771898966.772,4,5,1126.60,-787.90,557.00,9,186456
1771898966.772,4,6,839.80,-909.10,674.00,5,186456
1771898966.772,4,7,764.20,-1198.90,757.30,5,186456
1771898966.772,4,8,1630.10,-468.50,738.40,5,186456
1771898966.772,4,9,1175.20,-697.70,839.40,5,186456
1771898966.772,4,10,855.10,-815.80,904.00,5,186456
1771898966.772,4,11,809.70,-1107.40,1029.70,9,186456
1771898966.772,4,12,1606.30,-338.30,1119.30,5,186456
1771898966.772,4,13,1150.60,-580.90,1114.10,5,186456
1771898966.772,4,14,856.30,-715.10,1126.50,5,186456
1771898966.772,4,15,790.60,-947.10,1267.80,5,186456
1771898966.873,5,0,-1004.80,-1761.50,1761.50,5,63324
1771898966.873,5,4,-1063.40,-1819.60,1275.60,5,63324
1771898966.873,5,5,-579.50,-1874.50,1256.50,5,63324
1771898966.873,5,6,-106.10,-1876.50,1256.40,5,63324
1771898966.873,5,7,360.90,-1778.90,1276.90,5,63324
1771898966.873,5,12,-1069.10,-1653.60,255.00,5,63324
1771898966.873,5,13,-587.10,-1755.60,248.20,5,63324
1771898966.873,5,14,-104.00,-1718.80,271.80,5,63324
1771898966.873,5,15,406.30,-1703.90,220.80,5,63324
1771898966.874,6,9,-632.00,-99.60,1261.40,5,63340
1771898966.874,6,10,-588.00,-143.70,1266.50,5,63340
1771898966.874,6,11,-552.30,-191.70,1266.50,5,63340
1771898966.874,6,12,-641.10,-33.90,1195.90,255,63340
1771898966.874,6,13,-580.60,-77.30,1223.10,5,63340
1771898966.874,6,0,-2499.60,-331.20,1827.80,5,63340
1771898966.874,6,1,-669.00,-118.30,1394.10,255,63340
1771898966.874,6,2,-596.60,-146.90,1383.20,5,63340
1771898966.874,6,3,-545.70,-170.70,1381.10,5,63340
1771898966.874,6,4,-2541.80,-299.40,1268.10,5,63340
1771898966.874,6,5,-662.70,-113.90,1322.40,255,63340
1771898966.874,6,6,-596.00,-148.20,1324.10,5,63340
1771898966.874,6,7,-556.60,-190.70,1326.60,5,63340
1771898966.874,6,8,-2583.30,-265.50,679.20,4,63340
1771898966.874,6,9,-623.20,-96.00,1264.40,5,63340
1771898966.874,6,10,-580.50,-137.80,1269.50,5,63340
1771898966.874,6,11,-548.30,-186.30,1268.50,5,63340
1771898966.874,6,12,-2367.70,-198.70,125.80,4,63340
1771898966.874,6,13,-572.80,-74.10,1228.50,5,63340
1771898966.874,6,14,-577.60,-137.50,1205.40,5,63340
1771898966.874,6,15,-537.10,-178.40,1208.00,5,63340
1771898966.874,8,0,-715.20,878.20,780.60,5,63375
1771898966.874,8,1,-470.60,947.90,766.00,5,63375
1771898966.874,8,2,-212.30,968.00,753.10,5,63375
1771898966.874,8,3,57.30,939.30,739.10,5,63375
1771898966.874,8,4,-722.70,943.30,1045.60,5,63375
1771898966.874,8,5,-470.80,997.00,1037.90,5,63375
1771898966.874,8,6,-212.10,1018.80,1031.00,5,63375
1771898966.874,8,7,63.10,1004.00,1025.80,5,63375
1771898966.874,8,8,-707.10,950.70,1304.20,5,63375
1771898966.874,8,9,-467.90,1020.00,1292.80,5,63375
1771898966.874,8,10,-216.20,1032.90,1292.20,5,63375
1771898966.874,8,11,44.50,1007.10,1302.30,5,63375
1771898966.970,7,0,-638.90,181.90,1167.00,5,63427
1771898966.970,7,1,-545.00,185.30,1204.30,5,63427
1771898966.970,7,2,-486.80,194.70,1217.70,5,63427
1771898966.970,7,3,-436.60,208.40,1220.10,5,63427
1771898966.970,7,4,-657.30,202.70,1244.30,5,63427
1771898966.970,7,5,-558.90,205.60,1262.00,5,63427
1771898966.970,7,6,-495.20,211.80,1270.40,5,63427
1771898966.970,7,8,-639.00,195.30,1325.00,5,63427
1771898966.970,7,9,-559.40,208.60,1323.80,5,63427
1771898966.970,7,10,-493.80,205.30,1325.30,5,63427
1771898966.970,7,15,-445.60,198.60,1374.70,5,63427
1771898966.971,8,0,-719.40,887.50,774.30,5,63442
1771898966.971,8,1,-469.00,937.00,772.90,5,63442
1771898966.971,8,2,-213.90,957.10,760.10,5,63442
1771898966.971,8,3,44.90,912.20,757.50,5,63442
1771898966.971,8,4,-721.60,940.60,1046.50,5,63442
1771898966.971,8,5,-471.40,1001.70,1036.40,5,63442
1771898966.971,8,6,-212.60,1015.00,1032.20,5,63442
1771898966.971,8,7,58.10,992.50,1029.50,5,63442
1771898966.971,8,8,-709.80,957.20,1304.00,5,63442
1771898966.971,8,9,-467.90,1020.00,1292.80,5,63442
1771898966.971,8,10,-216.20,1032.90,1292.20,5,63442
1771898966.971,8,11,43.70,1005.30,1302.40,5,63442
1771898966.971,8,12,-683.00,935.60,1553.50,5,63442
1771898966.971,8,13,-458.20,988.90,1541.70,5,63442
1771898966.971,8,14,-224.20,1016.00,1547.80,5,63442
1771898966.971,8,15,12.10,973.70,1563.10,5,63442
1771898967.078,1,0,704.30,377.80,1001.10,5,183221
1771898967.078,1,1,719.60,554.40,1026.40,5,183221
1771898967.078,1,0,702.50,377.60,1000.30,5,183221
1771898967.078,1,1,717.90,553.70,1025.60,5,183221
1771898967.078,1,2,693.80,752.90,1058.50,5,183221
1771898967.078,1,3,664.60,1032.10,1132.40,5,183221
1771898967.078,1,4,737.60,382.20,833.80,5,183221
1771898967.078,1,5,751.00,567.50,841.80,5,183221
1771898967.078,1,6,718.30,771.60,851.60,5,183221
1771898967.078,1,7,703.90,1083.40,879.60,5,183221
1771898967.078,1,8,742.50,382.80,664.20,5,183221
1771898967.078,1,9,757.40,570.10,655.80,5,183221
1771898967.078,1,10,730.10,780.70,645.00,5,183221
1771898967.078,1,11,714.80,1097.60,616.70,5,183221
1771898967.078,1,12,711.60,378.80,494.40,5,183221
1771898967.078,1,13,727.30,557.60,468.80,5,183221
1771898967.078,1,14,715.80,769.80,428.60,9,183221
1771898967.078,1,15,671.30,1040.90,361.60,5,183221
1771898967.078,3,8,1472.70,-823.00,555.70,5,186639
1771898967.078,3,9,2349.60,-554.60,452.50,255,186639
1771898967.078,3,10,2409.50,41.80,444.50,255,186639
1771898967.078,3,11,2483.90,721.20,411.60,255,186639
1771898967.078,3,11,2483.90,721.20,411.60,255,186639
1771898967.078,3,12,1310.10,-755.70,213.20,5,186639
1771898967.078,3,13,1186.00,-401.40,301.60,255,186639
1771898967.078,3,14,3950.40,244.70,-853.40,255,186639
1771898967.078,3,15,2310.50,649.30,-235.30,255,186639
1771898967.078,2,0,1149.70,-168.50,1213.50,5,183329
1771898967.078,2,1,1883.00,27.50,1488.30,255,183329
1771898967.078,2,2,1097.10,389.70,1159.90,255,183329
1771898967.078,2,3,2543.50,1266.60,1838.40,255,183329
1771898967.078,2,4,1273.00,-219.60,914.40,5,183329
1771898967.078,2,10,3307.00,680.70,325.40,10,183329
1771898967.078,2,11,1707.20,920.10,522.30,255,183329
1771898967.078,2,12,1266.60,-216.90,232.70,9,183329
1771898967.078,2,13,1426.00,87.70,201.30,255,183329
1771898967.078,2,14,1495.60,442.20,172.20,255,183329
1771898967.078,2,15,1411.70,797.80,167.60,255,183329
1771898967.185,3,0,1354.50,-774.10,1305.30,5,186769
1771898967.185,3,1,1466.30,-438.30,1314.10,255,186769
1771898967.185,3,2,1382.90,-93.30,1279.30,255,186769
1771898967.185,3,3,1284.50,224.40,1274.00,255,186769
1771898967.185,3,4,1445.20,-811.60,939.00,5,186769
1771898967.185,3,5,1111.00,-391.60,881.70,255,186769
1771898967.185,3,6,780.70,-172.60,837.80,255,186769
1771898967.185,3,7,2396.90,685.10,1074.60,255,186769
1771898967.185,3,8,1442.50,-810.50,560.00,5,186769
1771898967.185,3,9,2349.60,-554.60,452.50,255,186769
1771898967.185,3,10,2409.50,41.80,444.50,255,186769
1771898967.185,3,11,2483.90,721.20,411.60,255,186769
1771898967.185,3,12,1317.00,-758.50,210.10,5,186769
1771898967.185,3,13,1186.00,-401.40,301.60,255,186769
1771898967.185,3,14,3950.40,244.70,-853.40,255,186769
1771898967.185,3,15,2310.50,649.30,-235.30,255,186769
1771898967.320,4,5,1132.80,-790.80,555.80,5,186854
1771898967.320,4,6,835.90,-905.90,674.40,5,186854
1771898967.320,4,7,763.60,-1198.10,757.20,9,186854
1771898967.320,4,8,1632.10,-468.70,738.30,5,186854
1771898967.320,4,9,1202.30,-707.80,841.60,9,186854
1771898967.320,4,10,859.90,-819.20,905.00,5,186854
1771898967.320,4,11,769.50,-1061.50,1013.80,5,186854
1771898967.320,4,12,1623.70,-338.80,1123.60,5,186854
1771898967.320,4,13,1174.40,-587.30,1122.40,5,186854
1771898967.320,4,14,860.30,-717.30,1128.50,5,186854
1771898967.320,4,15,774.60,-932.10,1255.80,5,186854
1771898967.320,5,4,-1058.50,-1807.50,1276.00,5,63659
1771898967.320,5,5,-579.30,-1873.50,1256.50,5,63659
1771898967.320,5,6,-106.00,-1877.50,1256.30,5,63659
1771898967.320,5,0,-1004.00,-1759.70,1761.10,5,63659
1771898967.320,5,1,-561.90,-1822.30,1729.00,5,63659
1771898967.320,5,2,-121.00,-1845.60,1734.30,5,63659
1771898967.320,5,3,307.60,-1732.50,1754.20,5,63659
1771898967.320,5,4,-1080.90,-1862.10,1274.10,5,63659
1771898967.320,5,5,-577.60,-1860.60,1257.00,5,63659
1771898967.320,5,6,-107.40,-1866.60,1256.80,5,63659
1771898967.320,5,7,363.60,-1785.30,1276.70,5,63659
1771898967.320,5,8,-1102.10,-1823.20,758.00,5,63659
1771898967.320,5,9,-590.30,-1871.00,761.40,5,63659
1771898967.320,5,10,-94.00,-1881.40,758.10,5,63659
1771898967.320,5,11,389.70,-1761.60,778.10,255,63659
1771898967.320,5,12,-1069.80,-1655.10,253.90,5,63659
1771898967.320,5,13,-584.80,-1739.70,258.40,9,63659
1771898967.320,5,14,-98.30,-1758.10,246.60,5,63659
1771898967.320,5,15,368.80,-1621.80,276.50,5,63659
1771898967.320,6,0,-654.90,-48.80,1389.50,5,63675
1771898967.320,6,1,-633.10,-103.10,1385.30,5,63675
1771898967.320,6,2,-560.80,-119.80,1373.10,5,63675
1771898967.320,6,3,-523.80,-143.40,1372.80,5,63675
1771898967.320,6,4,-657.80,-44.90,1326.10,5,63675
1771898967.320,6,5,-614.70,-94.00,1324.60,255,63675
1771898967.320,6,6,-553.20,-115.40,1326.40,5,63675
1771898967.320,6,7,-527.90,-153.50,1328.10,5,63675
1771898967.320,6,8,-654.10,-40.10,1262.50,5,63675
1771898967.320,6,9,-564.00,-71.80,1284.40,5,63675
1771898967.320,6,10,-537.50,-104.50,1286.50,5,63675
1771898967.320,6,11,-528.30,-159.40,1278.60,5,63675
1771898967.320,6,12,-556.30,-25.80,1248.40,5,63675
1771898967.320,6,13,-532.80,-58.10,1255.80,5,63675
1771898967.320,6,14,-533.90,-103.00,1240.80,5,63675
1771898967.320,6,15,-523.30,-159.00,1222.70,5,63675
1771898967.320,7,0,-624.30,171.50,1178.10,5,63695
1771898967.320,7,1,-533.50,170.70,1216.10,5,63695
1771898967.320,7,15,-443.60,185.10,1371.50,5,63695
1771898967.424,6,14,-532.50,-102.00,1241.90,5,63742
1771898967.424,6,15,-522.80,-158.30,1223.20,5,63742
1771898967.531,7,0,-620.80,169.10,1180.70,5,63762
1771898967.531,7,1,-533.50,170.70,1216.10,5,63762
1771898967.531,7,2,-481.50,181.40,1226.90,5,63762
1771898967.531,7,3,-435.00,191.50,1230.60,5,63762
1771898967.531,7,4,-635.80,186.70,1252.40,5,63762
1771898967.531,7,5,-545.40,188.30,1268.90,5,63762
1771898967.531,7,6,-489.40,197.70,1275.10,5,63762
1771898967.531,7,7,-440.40,208.00,1278.30,5,63762
1771898967.531,7,8,-626.30,185.50,1325.50,5,63762
1771898967.531,7,9,-550.90,197.50,1324.40,5,63762
1771898967.531,7,10,-490.40,197.00,1325.70,5,63762
1771898967.531,7,11,-442.00,194.80,1328.30,5,63762
1771898967.531,7,12,-613.60,181.20,1392.00,5,63762
1771898967.531,7,13,-548.60,196.70,1381.40,5,63762
1771898967.531,7,14,-484.80,180.90,1371.20,5,63762
1771898967.531,7,15,-443.00,181.30,1370.50,5,63762
1771898967.531,8,5,-471.40,1001.70,1036.40,5,63777
1771898967.531,8,6,-211.70,1021.60,1030.10,5,63777
1771898967.531,8,7,59.30,995.20,1028.60,5,63777
1771898967.531,8,8,-712.80,964.60,1303.70,5,63777
1771898967.531,8,0,-720.80,890.50,772.20,5,63777
1771898967.531,8,1,-469.60,941.20,770.20,5,63777
1771898967.531,8,2,-212.90,963.80,755.80,5,63777
1771898967.531,8,3,-235.80,297.60,1174.40,5,63777
1771898967.531,8,4,-725.30,949.40,1043.60,5,63777
1771898967.531,8,5,-470.50,995.10,1038.50,5,63777
1771898967.531,8,6,-211.50,1022.50,1029.80,5,63777
1771898967.531,8,7,56.60,989.00,1030.70,5,63777
1771898967.531,8,8,-712.10,962.80,1303.80,5,63777
1771898967.531,8,9,-467.70,1018.00,1292.90,5,63777
1771898967.531,8,10,-215.40,1038.80,1292.00,5,63777
1771898967.531,8,11,45.20,1009.00,1302.30,5,63777
1771898967.531,8,12,-683.00,935.60,1553.50,5,63777
1771898967.531,8,13,-458.70,992.80,1542.60,5,63777
1771898967.531,8,14,-223.80,1019.90,1548.70,5,63777
1771898967.531,8,15,13.10,976.40,1563.80,5,63777
1771898967.531,1,0,703.40,377.70,1000.70,5,183547
1771898967.531,1,1,716.20,553.00,1024.80,5,183547
1771898967.531,1,2,699.00,756.80,1061.20,5,183547
1771898967.531,1,3,652.20,1016.00,1123.90,9,183547
1771898967.531,1,4,740.50,382.60,834.10,5,183547
1771898967.531,1,5,754.70,569.00,842.40,5,183547
1771898967.531,1,6,723.00,775.30,852.40,5,183547
1771898967.531,1,7,666.50,1034.70,871.50,9,183547
1771898967.531,1,15,683.70,1057.10,353.20,5,183547
