local_time_s,sid,cell,valid,x_mm,y_mm,z_mm,target_status,sensor_ts_ms
1771901170.810,1,0,1,700.60,377.30,999.60,5,2386582
1771901170.810,1,1,1,646.20,524.00,993.50,5,2386582
1771901170.810,1,2,1,580.20,665.70,999.20,5,2386582
1771901170.810,1,3,1,478.40,789.50,1005.70,5,2386582
1771901170.810,1,4,1,735.60,381.90,833.50,5,2386582
1771901170.810,1,5,1,672.30,534.80,830.60,5,2386582
1771901170.810,1,6,1,600.30,681.10,832.10,5,2386582
1771901170.810,1,7,1,499.90,817.60,835.40,5,2386582
1771901170.810,1,1,1,659.00,529.30,999.20,5,2386582
1771901170.810,1,2,1,584.60,669.10,1001.50,5,2386582
1771901170.810,1,3,1,486.30,799.80,1011.10,5,2386582
1771901170.810,1,4,1,746.40,383.30,834.90,5,2386582
1771901170.810,1,5,1,685.10,540.10,832.40,5,2386582
1771901170.810,1,6,1,608.10,687.10,833.40,5,2386582
1771901170.810,1,7,1,506.60,826.20,836.90,5,2386582
1771901170.810,1,12,1,719.90,379.80,491.00,5,2386582
1771901170.810,1,1,1,665.80,532.10,1002.30,5,2386582
1771901170.810,1,2,1,592.70,675.30,1005.70,5,2386582
1771901170.810,1,3,1,494.70,810.80,1016.80,5,2386582
1771901170.810,1,4,1,760.20,385.20,836.80,5,2386582
1771901170.810,1,5,1,693.30,543.50,833.60,5,2386582
1771901170.810,1,6,1,616.00,693.20,834.70,5,2386582
1771901170.810,1,7,1,513.20,834.90,838.30,5,2386582
1771901170.810,1,0,1,730.90,381.30,1012.20,5,2386582
1771901170.810,1,1,1,676.00,536.40,1006.80,5,2386582
1771901170.810,1,2,1,596.40,678.10,1007.60,5,2386582
1771901170.810,1,3,1,495.90,812.30,1017.60,5,2386582
1771901170.810,1,4,1,766.10,385.90,837.50,5,2386582
1771901170.810,1,5,1,703.40,547.70,835.10,5,2386582
1771901170.810,1,6,1,619.20,695.60,835.20,5,2386582
1771901170.810,1,7,1,518.10,841.20,839.40,5,2386582
1771901170.810,1,8,1,771.00,386.60,660.40,5,2386582
1771901170.810,1,9,1,707.10,549.20,663.00,5,2386582
1771901170.810,1,10,1,624.70,699.80,662.50,5,2386582
1771901170.810,1,11,1,518.10,841.20,659.20,5,2386582
1771901170.810,1,12,1,744.60,383.10,480.70,5,2386582
1771901170.810,1,13,1,691.40,542.80,484.90,5,2386582
1771901170.810,1,14,1,608.10,687.10,484.90,5,2386582
1771901170.810,1,15,1,498.70,815.90,479.10,5,2386582
1771901170.811,2,0,1,796.30,-22.10,1055.10,5,2386663
1771901170.811,2,1,1,1096.20,131.10,1159.50,5,2386663
1771901170.811,2,2,1,935.90,368.50,1092.60,255,2386663
1771901170.811,2,3,1,804.00,546.00,1058.50,255,2386663
1771901170.811,2,4,1,839.80,-40.10,852.70,5,2386663
1771901170.811,2,5,1,1154.30,123.40,887.40,5,2386663
1771901170.811,2,6,1,1135.60,394.80,884.90,255,2386663
1771901170.811,2,7,1,1231.80,723.20,908.50,4,2386663
1771901170.811,2,8,1,848.90,-43.90,644.60,5,2386663
1771901170.811,2,1,1,1092.60,131.60,1158.00,5,2386663
1771901170.811,2,2,1,937.80,368.80,1093.30,255,2386663
1771901170.811,2,3,1,804.00,546.00,1058.50,255,2386663
1771901170.811,2,4,1,840.70,-40.50,852.80,5,2386663
1771901170.811,2,5,1,1150.30,124.00,886.90,9,2386663
1771901170.811,2,6,1,965.50,372.40,862.30,255,2386663
1771901170.811,2,7,1,862.70,570.30,855.90,255,2386663
1771901170.811,2,13,1,1122.80,127.60,328.00,5,2386663
1771901170.811,2,14,1,879.10,361.00,429.80,255,2386663
1771901170.811,2,15,1,711.80,507.80,481.40,255,2386663
1771901170.811,3,1,1,1314.20,-418.30,1250.60,255,2390075
1771901170.811,3,2,1,1595.40,-65.40,1368.10,255,2390075
1771901170.811,3,3,1,1234.20,203.50,1251.40,5,2390075
1771901170.811,3,1,1,1314.20,-418.30,1250.60,255,2390075
1771901170.811,3,2,1,1595.40,-65.40,1368.10,255,2390075
1771901170.811,3,3,1,1275.10,220.50,1269.70,5,2390075
1771901170.811,3,4,1,1794.20,-956.20,988.70,255,2390075
1771901170.811,3,5,1,4092.40,-784.10,1277.50,255,2390075
1771901170.811,3,6,1,1906.20,-24.40,987.20,255,2390075
1771901170.811,3,7,1,1356.40,254.10,926.30,5,2390075
1771901170.811,3,1,1,1314.20,-418.30,1250.60,255,2390075
1771901170.811,3,2,1,1620.20,-62.10,1378.40,255,2390075
1771901170.811,3,15,1,1324.60,241.00,206.70,5,2390075
1771901170.811,3,0,1,1286.20,-745.80,1274.70,255,2390075
1771901170.811,3,1,1,1314.20,-418.30,1250.60,255,2390075
1771901170.811,3,2,1,1620.20,-62.10,1378.40,255,2390075
1771901170.811,3,13,1,1687.00,-467.40,92.20,255,2390075
1771901170.811,3,14,1,2033.30,-7.70,-52.40,10,2390075
1771901170.811,3,1,1,1414.10,-431.50,1292.30,255,2390075
1771901170.811,3,2,1,1512.10,-76.30,1333.30,255,2390075
1771901170.811,3,3,1,1241.00,206.30,1254.40,5,2390075
1771901170.811,3,4,1,1794.20,-956.20,988.70,255,2390075
1771901170.811,3,5,1,4092.40,-784.10,1277.50,255,2390075
1771901170.811,3,0,1,1331.50,-764.50,1295.00,255,2390075
1771901170.811,3,13,1,1687.00,-467.40,92.20,255,2390075
1771901170.811,3,1,1,1414.10,-431.50,1292.30,255,2390075
1771901170.811,3,2,1,1737.40,-46.70,1427.40,10,2390075
1771901170.811,3,3,1,1252.90,211.30,1259.80,5,2390075
1771901170.811,3,4,1,1794.20,-956.20,988.70,255,2390075
1771901170.811,3,5,1,4092.40,-784.10,1277.50,255,2390075
1771901170.811,3,6,1,1987.80,-13.70,998.10,5,2390075
1771901170.811,3,7,1,1347.20,250.30,925.00,5,2390075
1771901170.811,3,8,1,1065.10,-654.20,613.80,255,2390075
1771901170.811,3,9,1,1870.90,-491.60,516.00,255,2390075
1771901170.811,3,10,1,1925.90,-21.80,508.70,255,2390075
1771901170.811,3,11,1,1360.90,256.00,571.70,5,2390075
1771901170.811,3,12,1,1311.00,-756.00,212.80,255,2390075
1771901170.811,3,13,1,1687.00,-467.40,92.20,255,2390075
1771901170.811,3,14,1,1881.20,-27.70,11.10,5,2390075
1771901170.811,3,15,1,1328.90,242.80,204.70,9,2390075
1771901170.811,3,0,1,1292.20,-748.30,1277.40,255,2390075
1771901170.811,3,1,1,1441.50,-435.10,1303.80,255,2390075
1771901170.811,3,2,1,1737.40,-46.70,1427.40,255,2390075
1771901170.811,3,3,1,1317.80,238.20,1288.90,5,2390075
1771901170.811,3,1,1,1441.50,-435.10,1303.80,255,2390075
1771901170.811,3,2,1,1737.40,-46.70,1427.40,255,2390075
1771901170.811,3,3,1,1330.60,243.50,1294.60,5,2390075
1771901170.811,3,4,1,1794.20,-956.20,988.70,255,2390075
1771901170.811,3,5,1,4092.40,-784.10,1277.50,255,2390075
1771901170.811,3,6,1,1988.80,-13.60,998.20,255,2390075
1771901170.811,3,7,1,1451.60,293.60,939.90,5,2390075
1771901170.811,3,8,1,1065.10,-654.20,613.80,255,2390075
1771901170.811,3,9,1,1870.90,-491.60,516.00,255,2390075
1771901170.811,3,10,1,1971.10,-15.90,502.70,255,2390075
1771901170.811,3,11,1,1469.00,300.80,556.30,5,2390075
1771901170.811,3,12,1,1696.80,-915.80,39.80,255,2390075
1771901170.811,3,13,1,1687.00,-467.40,92.20,255,2390075
1771901170.811,3,14,1,1940.80,-19.90,-13.80,255,2390075
1771901170.811,3,1,1,1441.50,-435.10,1303.80,255,2390075
1771901170.811,3,2,1,1737.40,-46.70,1427.40,255,2390075
1771901170.811,3,3,1,1357.90,254.80,1306.90,5,2390075
1771901170.811,3,4,1,1794.20,-956.20,988.70,255,2390075
1771901170.811,3,5,1,4092.40,-784.10,1277.50,255,2390075
1771901170.811,3,6,1,1988.80,-13.60,998.20,255,2390075
1771901170.811,3,7,1,1477.30,304.20,943.50,5,2390075
1771901170.811,3,1,1,1449.80,-436.20,1307.30,255,2390075
1771901170.811,3,2,1,1737.40,-46.70,1427.40,255,2390075
1771901170.811,3,3,1,1369.00,259.40,1311.80,5,2390075
1771901170.811,3,4,1,1794.20,-956.20,988.70,255,2390075
1771901170.811,3,5,1,4092.40,-784.10,1277.50,255,2390075
1771901170.811,3,6,1,1988.80,-13.60,998.20,255,2390075
1771901170.811,3,7,1,1476.40,303.80,943.40,5,2390075
1771901170.811,3,0,1,1292.20,-748.30,1277.40,255,2390075
1771901170.811,3,1,1,1449.80,-436.20,1307.30,255,2390075
1771901170.811,3,2,1,1737.40,-46.70,1427.40,255,2390075
1771901170.811,3,3,1,1319.50,238.90,1289.60,5,2390075
1771901170.811,3,4,1,1794.20,-956.20,988.70,255,2390075
1771901170.811,3,5,1,4092.40,-784.10,1277.50,255,2390075
1771901170.811,3,6,1,1988.80,-13.60,998.20,255,2390075
1771901170.811,3,7,1,1449.80,292.80,939.60,5,2390075
1771901170.811,3,8,1,1065.10,-654.20,613.80,255,2390075
1771901170.811,3,9,1,1870.90,-491.60,516.00,255,2390075
1771901170.811,3,10,1,1971.10,-15.90,502.70,255,2390075
1771901170.811,3,11,1,1478.20,304.60,554.90,5,2390075
1771901170.811,3,12,1,1696.80,-915.80,39.80,255,2390075
1771901170.811,3,0,1,1287.10,-746.10,1275.10,255,2390075
1771901170.811,3,1,1,1449.80,-436.20,1307.30,255,2390075
1771901170.811,3,2,1,1737.40,-46.70,1427.40,255,2390075
1771901170.811,3,3,1,1310.10,235.00,1285.40,5,2390075
1771901170.811,3,4,1,1794.20,-956.20,988.70,255,2390075
1771901170.811,3,5,1,4092.40,-784.10,1277.50,255,2390075
1771901170.811,3,6,1,1988.80,-13.60,998.20,255,2390075
1771901170.811,3,7,1,1370.10,259.80,928.30,255,2390075
1771901170.811,3,8,1,1065.10,-654.20,613.80,255,2390075
1771901170.811,3,9,1,1870.90,-491.60,516.00,255,2390075
1771901170.811,3,10,1,1375.40,-94.30,581.80,10,2390075
1771901170.811,3,11,1,1449.80,292.80,559.00,255,2390075
1771901170.811,3,12,1,1696.80,-915.80,39.80,255,2390075
1771901170.811,3,13,1,1687.00,-467.40,92.20,255,2390075
1771901170.811,3,14,1,3659.10,206.30,-731.70,255,2390075
1771901170.811,3,15,1,1374.10,261.50,184.50,255,2390075
1771901170.927,4,0,1,842.40,-521.10,325.50,5,2390364
