local_time_s,stream_t_ms,sid,cell,x_m_raw,y_m_raw,z_m_raw,x_m_corr,y_m_corr,z_m_corr
1771810962.024,846938,4,0,0.2660,-0.4540,0.2510,0.2660,-0.4540,0.2510
1771810962.024,846938,4,1,1.0080,-0.7990,0.5800,1.0080,-0.7990,0.5800
1771810962.024,846938,4,2,1.0760,-0.5610,0.4660,1.0760,-0.5610,0.4660
1771810962.024,846938,4,3,1.0840,-0.3240,0.3690,1.0840,-0.3240,0.3690
1771810962.024,846938,4,4,0.2560,-0.4750,0.1880,0.2560,-0.4750,0.1880
1771810962.024,846938,4,5,0.2900,-0.4280,0.1660,0.2900,-0.4280,0.1660
1771810962.024,846938,4,6,1.5220,-0.8270,0.2460,1.5220,-0.8270,0.2460
1771810962.024,846938,4,7,0.3950,-0.3310,0.1250,0.3950,-0.3310,0.1250
1771810962.024,846938,4,8,0.2310,-0.4750,0.1290,0.2310,-0.4750,0.1290
1771810962.024,846938,4,9,0.2630,-0.4320,0.1110,0.2630,-0.4320,0.1110
1771810962.024,846938,4,10,0.3140,-0.4000,0.0870,0.3140,-0.4000,0.0870
1771810962.024,846938,4,11,1.5850,-0.5920,-0.2680,1.5850,-0.5920,-0.2680
1771810962.024,846938,4,12,0.2020,-0.4620,0.0800,0.2020,-0.4620,0.0800
1771810962.024,846938,4,13,0.2380,-0.4340,0.0620,0.2380,-0.4340,0.0620
1771810962.024,846938,4,14,0.2880,-0.4110,0.0320,0.2880,-0.4110,0.0320
1771810962.024,846938,4,15,0.3490,-0.3730,-0.0140,0.3490,-0.3730,-0.0140
1771810962.040,846977,1,0,0.2640,0.3030,0.1670,0.2640,0.3030,0.1670
1771810962.040,846977,1,1,0.3290,0.3600,0.2060,0.3290,0.3600,0.2060
1771810962.040,846977,1,2,0.7840,0.6750,0.4680,0.7840,0.6750,0.4680
1771810962.040,846977,1,3,0.6230,0.7890,0.5190,0.6230,0.7890,0.5190
1771810962.040,846977,1,4,0.3420,0.3250,0.1250,0.3420,0.3250,0.1250
1771810962.040,846977,1,5,0.3700,0.3980,0.1490,0.3700,0.3980,0.1490
1771810962.040,846977,1,6,0.9190,0.8600,0.2950,0.9190,0.8600,0.2950
1771810962.040,846977,1,7,0.3390,0.5700,0.2210,0.3390,0.5700,0.2210
1771810962.040,846977,1,8,0.3850,0.3550,0.0520,0.3850,0.3550,0.0520
1771810962.040,846977,1,9,0.3970,0.4390,0.0720,0.3970,0.4390,0.0720
