local_time_s,sid,cell,valid,x_mm,y_mm,z_mm,target_status,sensor_ts_ms
1771961035.626,2,0,1,267.80,329.00,711.90,5,2526104
1771961035.626,2,1,1,430.30,281.90,772.40,5,2526104
1771961035.626,2,2,1,426.60,175.80,770.90,5,2526104
1771961035.626,2,3,1,468.40,45.10,801.90,5,2526104
1771961035.626,2,4,1,363.40,368.60,651.40,5,2526104
1771961035.626,2,5,1,493.30,290.20,665.40,5,2526104
1771961035.626,2,6,1,483.50,168.30,664.10,5,2526104
1771961035.626,2,7,1,568.60,3.60,680.70,5,2526104
1771961035.626,2,8,1,1055.00,655.10,456.50,5,2526104
1771961035.626,2,9,1,444.10,283.70,547.60,5,2526104
1771961035.626,2,10,1,443.20,173.60,547.80,5,2526104
1771961035.626,2,11,1,462.30,47.60,541.00,5,2526104
1771961035.626,2,12,1,263.50,327.20,496.50,5,2526104
1771961035.626,2,13,1,356.10,272.10,465.10,5,2526104
1771961035.626,2,14,1,372.60,182.90,458.20,5,2526104
1771961035.626,2,15,1,390.70,77.30,439.50,255,2526104
1771961035.626,3,0,1,441.90,-413.80,416.50,255,2528603
1771961035.626,3,1,1,569.50,-312.90,375.90,255,2528603
1771961035.626,3,2,1,496.20,-179.30,406.60,255,2528603
1771961035.626,3,3,1,544.40,-26.30,370.60,255,2528603
1771961035.626,3,4,1,2580.10,-1299.50,239.20,5,2528603
1771961035.626,3,5,1,574.90,-313.60,530.30,255,2528603
1771961035.626,3,6,1,583.70,-167.80,529.10,5,2528603
1771961035.626,3,7,1,495.30,-46.70,536.30,5,2528603
1771961035.626,3,8,1,2626.80,-1318.80,973.90,5,2528603
1771961035.626,3,9,1,567.00,-312.60,675.20,255,2528603
1771961035.626,3,10,1,604.40,-165.10,680.10,5,2528603
1771961035.626,3,11,1,576.80,-12.90,681.80,5,2528603
1771961035.626,3,12,1,2575.00,-1297.40,1746.30,5,2528603
1771961035.626,3,13,1,545.70,-309.80,820.60,255,2528603
1771961035.626,3,14,1,572.20,-169.30,831.70,5,2528603
1771961035.626,3,15,1,503.40,-43.30,817.60,5,2528603
1771961035.626,4,0,1,507.90,-941.30,257.70,255,2528634
1771961035.626,4,1,1,790.90,-886.30,190.30,255,2528634
1771961035.626,4,2,1,1082.30,-727.70,118.00,255,2528634
1771961035.626,4,3,1,1096.40,-423.70,145.20,255,2528634
1771961035.626,4,4,1,539.00,-981.80,486.70,255,2528634
1771961035.626,4,5,1,2555.60,-2240.30,179.20,255,2528634
1771961035.626,4,6,1,2776.30,-1429.40,207.60,5,2528634
1771961035.626,4,7,1,2701.20,-635.00,244.60,5,2528634
1771961035.626,4,8,1,538.40,-981.00,719.70,255,2528634
1771961035.626,4,9,1,2473.80,-2177.60,1013.80,255,2528634
1771961035.626,4,10,1,2649.90,-1377.00,980.90,255,2528634
1771961035.626,4,11,1,2739.50,-640.10,967.00,5,2528634
1771961035.626,4,12,1,487.60,-914.90,935.00,255,2528634
