local_time_s,sid,cell,x_mm,y_mm,z_mm,target_status,sensor_ts_ms
1771897938.203,3,0,1031.40,-607.90,752.30,5,204508
1771897938.203,3,1,1130.70,-384.00,733.30,5,204508
1771897938.203,3,2,1145.60,-134.90,734.00,5,204508
1771897938.203,3,3,1126.60,123.30,759.20,255,204508
1771897938.203,3,4,797.00,-546.40,542.10,5,204508
1771897938.203,3,5,882.20,-363.00,516.50,255,204508
1771897938.203,3,6,2281.40,29.30,207.90,255,204508
1771897938.203,3,7,1688.80,399.40,354.30,255,204508
1771897938.203,3,8,721.50,-542.60,361.50,5,204508
1771897938.203,3,9,2033.20,-542.90,-315.90,5,204508
1771897938.203,3,10,2023.60,20.70,-310.80,5,204508
1771897938.203,3,11,2364.30,785.70,-516.10,10,204508
1771897938.203,3,12,578.80,-505.00,234.90,5,204508
1771897938.203,3,13,1625.10,-510.00,-707.10,5,204508
1771897938.203,3,14,1646.30,-7.20,-726.60,5,204508
1771897938.203,3,15,1945.30,704.10,-1091.60,9,204508
1771897938.203,4,0,1134.60,-608.90,94.80,5,204493
1771897938.203,4,1,1066.50,-880.50,192.80,5,204493
1771897938.203,4,2,360.70,-556.90,562.90,5,204493
1771897938.203,4,3,298.60,-619.70,593.20,5,204493
1771897938.203,4,4,1249.20,-525.60,380.60,5,204493
1771897938.203,4,5,1334.80,-887.30,454.50,5,204493
1771897938.203,4,6,1162.40,-1176.00,577.50,5,204493
1771897938.203,4,7,337.50,-619.00,688.60,5,204493
1771897938.203,4,8,1223.60,-423.30,677.80,5,204493
1771897938.203,4,9,1276.10,-735.30,784.30,5,204493
1771897938.203,4,10,1176.90,-1036.90,906.60,9,204493
1771897938.203,4,11,399.20,-638.50,803.70,9,204493
1771897938.203,4,12,555.90,-310.50,797.50,5,204493
1771897938.203,4,13,596.80,-431.80,858.00,5,204493
1771897938.203,4,14,640.60,-596.00,955.20,9,204493
1771897938.203,4,15,322.50,-506.40,852.10,5,204493
1771897938.203,5,0,-887.40,-1460.30,1761.80,5,122666
1771897938.203,5,1,-521.70,-1499.80,1732.70,5,122666
1771897938.203,5,2,-166.10,-1483.30,1729.00,5,122666
1771897938.203,5,3,182.80,-1412.30,1749.70,5,122666
1771897938.203,5,4,-756.10,-1070.50,1376.50,5,122666
1771897938.203,5,5,-476.60,-1086.90,1366.20,5,122666
1771897938.203,5,6,-152.90,-1517.80,1347.80,5,122666
1771897938.203,5,7,211.00,-1413.60,1365.10,5,122666
1771897938.203,5,8,-754.90,-1018.50,1097.40,5,122666
1771897938.203,5,9,-483.40,-1090.20,1084.70,5,122666
1771897938.203,5,10,-140.90,-1539.20,942.60,5,122666
1771897938.203,5,11,186.40,-1290.30,1008.50,5,122666
1771897938.203,5,12,-650.80,-737.80,952.30,5,122666
1771897938.203,5,13,-444.30,-766.20,959.00,5,122666
1771897938.203,5,14,-234.60,-813.90,928.40,5,122666
1771897938.203,5,15,-29.30,-750.20,943.90,5,122666
1771897938.204,6,0,-2052.10,-262.70,1797.70,5,122650
1771897938.204,6,1,-2401.50,-850.20,1890.00,5,122650
1771897938.204,6,2,-2715.60,-1749.30,2052.20,255,122650
1771897938.204,6,3,-816.00,-508.00,1558.80,255,122650
1771897938.204,6,4,-2111.90,-241.30,1357.60,5,122650
1771897938.204,6,5,-2500.60,-877.40,1314.60,5,122650
1771897938.204,6,6,-2432.40,-1554.30,1302.70,5,122650
1771897938.204,6,7,-2099.10,-2187.00,1325.80,255,122650
1771897938.204,6,8,-1772.80,-170.80,1000.40,5,122650
1771897938.204,6,9,-1688.60,-530.90,979.70,5,122650
1771897938.204,6,10,-3275.30,-2227.70,276.20,255,122650
1771897938.204,6,11,-1738.40,-1785.10,746.20,255,122650
1771897938.204,6,12,-1149.40,-82.40,957.10,5,122650
1771897938.204,6,13,-1178.80,-316.40,890.40,5,122650
1771897938.204,6,14,-1952.80,-1220.10,170.60,5,122650
1771897938.204,6,15,-1533.70,-1578.10,224.10,255,122650
1771897938.204,7,0,-1185.80,571.40,829.00,5,122687
1771897938.204,7,1,-1012.90,779.60,800.40,5,122687
1771897938.204,7,2,-861.30,1131.60,653.50,255,122687
1771897938.204,7,3,-636.50,2302.70,-1.70,255,122687
1771897938.204,7,4,-853.90,349.10,1246.90,255,122687
1771897938.204,7,5,-743.10,443.10,1243.90,255,122687
1771897938.204,7,6,-728.50,783.40,1153.00,255,122687
1771897938.204,7,7,-656.30,2056.40,795.70,255,122687
1771897938.204,7,8,-4006.00,2796.90,1271.30,255,122687
1771897938.204,7,9,-946.30,714.00,1373.10,255,122687
1771897938.204,7,10,-744.50,808.70,1373.90,255,122687
1771897938.204,7,11,-489.60,547.40,1393.60,255,122687
1771897938.204,7,12,-767.00,304.20,1514.40,255,122687
1771897938.204,7,13,-2076.30,2216.80,2022.80,255,122687
1771897938.204,7,14,-1458.70,2486.10,2005.90,255,122687
1771897938.204,7,15,-505.60,590.30,1543.90,10,122687
1771897938.204,8,0,-778.80,1017.50,762.30,5,122634
1771897938.204,8,1,-487.00,1061.60,769.30,5,122634
1771897938.204,8,2,-190.40,1120.00,731.80,5,122634
1771897938.204,8,3,55.60,935.40,817.90,5,122634
1771897938.204,8,4,-921.50,1404.10,971.10,5,122634
1771897938.204,8,5,-461.20,927.10,1136.20,255,122634
1771897938.204,8,6,167.00,3787.70,230.70,255,122634
1771897938.204,8,7,211.00,1346.90,989.80,255,122634
1771897938.204,8,8,-1451.20,2764.10,1320.60,255,122634
1771897938.204,8,9,-815.10,3678.00,1255.90,5,122634
1771897938.204,8,10,-165.60,1420.30,1352.00,255,122634
1771897938.204,8,11,1010.10,3360.60,1300.90,255,122634
1771897938.204,8,12,-1622.40,3345.60,2237.20,255,122634
1771897938.204,8,13,-783.30,3600.00,2205.10,255,122634
1771897938.204,8,14,-215.70,1084.80,1639.50,255,122634
1771897938.204,8,15,833.40,3080.70,2170.40,255,122634
1771897938.204,1,0,234.60,302.00,718.50,5,205953
1771897938.204,1,1,238.00,335.20,733.20,5,205953
1771897938.204,1,2,213.90,360.40,741.90,5,205953
1771897938.204,1,3,136.70,331.50,712.20,5,205953
1771897938.204,1,4,243.70,314.30,684.80,5,205953
1771897938.204,1,5,247.40,352.70,698.00,5,205953
1771897938.204,1,6,226.00,383.80,711.30,5,205953
1771897938.204,1,7,242.40,459.40,741.60,5,205953
1771897938.204,1,8,403.40,358.20,605.50,5,205953
1771897938.204,1,9,430.80,455.60,624.00,5,205953
1771897938.204,1,10,302.10,464.30,665.30,5,205953
1771897938.204,1,11,250.40,500.60,687.60,5,205953
1771897938.204,1,12,312.40,361.80,565.20,5,205953
1771897938.204,1,13,640.50,623.50,410.40,5,205953
1771897938.204,1,14,865.40,1060.30,323.50,5,205953
1771897938.204,1,15,578.80,1076.60,461.40,5,205953
1771897938.204,2,0,425.00,142.60,708.30,5,205985
1771897938.204,2,1,2899.80,-78.40,815.90,5,205985
1771897938.204,2,2,2198.70,513.80,783.20,5,205985
1771897938.204,2,3,2077.30,1004.20,828.20,5,205985
1771897938.204,2,4,490.00,102.90,606.70,5,205985
1771897938.204,2,5,844.40,162.80,524.80,5,205985
1771897938.204,2,6,2202.00,539.40,225.40,5,205985
1771897938.204,2,7,2078.10,1083.30,272.30,5,205985
1771897938.204,2,8,796.60,-56.80,321.40,9,205985
1771897938.204,2,9,798.20,159.70,328.80,255,205985
1771897938.204,2,10,2077.20,549.30,-338.80,255,205985
1771897938.204,2,11,1872.20,1077.60,-253.20,255,205985
1771897938.204,2,12,738.50,-68.50,79.90,5,205985
1771897938.204,2,13,823.70,143.10,31.80,5,205985
1771897938.204,2,14,851.40,382.10,6.20,5,205985
1771897938.204,2,15,845.90,645.70,-24.40,9,205985
1771897938.204,3,0,922.20,-566.50,744.40,9,204575
1771897938.204,3,1,1128.70,-383.70,733.20,5,204575
1771897938.204,3,2,1131.70,-136.60,733.30,5,204575
1771897938.204,3,3,1126.60,123.30,759.20,255,204575
1771897938.204,3,4,779.80,-539.20,545.70,5,204575
1771897938.204,3,5,882.20,-363.00,516.50,255,204575
1771897938.204,3,6,2293.00,30.80,205.30,10,204575
1771897938.204,3,7,1688.80,399.40,354.30,255,204575
1771897938.204,3,8,722.30,-543.00,361.00,5,204575
1771897938.204,3,9,2015.70,-540.30,-306.70,5,204575
1771897938.204,3,10,2012.10,19.00,-304.90,5,204575
1771897938.204,3,11,2308.00,759.50,-486.00,5,204575
1771897938.204,3,12,578.80,-505.00,234.90,5,204575
1771897938.204,3,13,1646.30,-513.50,-726.60,5,204575
1771897938.204,3,14,1660.10,-4.90,-739.40,5,204575
1771897938.204,3,15,1946.70,704.90,-1092.90,5,204575
1771897938.204,4,0,1129.60,-607.40,97.60,5,204560
1771897938.204,4,1,835.10,-740.90,311.00,4,204560
1771897938.204,4,2,354.60,-550.80,565.80,5,204560
1771897938.204,4,3,449.30,-865.50,522.30,5,204560
1771897938.204,4,4,1261.50,-528.00,377.30,5,204560
1771897938.204,4,5,1328.60,-884.30,455.60,5,204560
1771897938.204,4,6,1083.30,-1110.60,585.60,255,204560
1771897938.204,4,7,315.00,-588.40,688.40,5,204560
1771897938.204,4,8,1226.60,-423.60,677.80,5,204560
1771897938.204,4,9,1231.30,-718.60,780.60,5,204560
1771897938.204,4,10,1137.90,-1010.10,898.60,255,204560
1771897938.204,4,11,390.30,-628.30,800.10,9,204560
1771897938.204,4,12,556.90,-310.50,797.70,5,204560
1771897938.204,4,13,614.20,-436.50,864.10,5,204560
1771897938.204,4,14,650.20,-601.30,960.00,5,204560
1771897938.204,4,15,317.40,-501.60,848.20,5,204560
1771897938.301,5,0,-887.40,-1460.30,1761.80,5,122734
1771897938.301,5,1,-521.40,-1496.90,1732.10,5,122734
1771897938.301,5,2,-166.00,-1484.30,1729.20,5,122734
1771897938.301,5,3,183.90,-1415.00,1750.40,5,122734
1771897938.301,5,4,-751.90,-1060.40,1376.80,5,122734
1771897938.301,5,5,-474.00,-1067.10,1367.00,5,122734
1771897938.301,5,6,-154.00,-1509.90,1348.20,5,122734
1771897938.301,5,7,153.40,-1273.00,1369.80,5,122734
1771897938.301,5,8,-764.80,-1041.40,1089.90,5,122734
1771897938.301,5,9,-482.80,-1085.40,1086.20,5,122734
1771897938.301,5,10,-143.40,-1521.30,948.30,5,122734
1771897938.301,5,11,187.90,-1293.80,1007.30,5,122734
1771897938.301,5,12,-649.10,-733.90,955.00,5,122734
1771897938.301,5,13,-443.00,-757.10,964.90,5,122734
1771897938.301,5,14,-234.20,-816.40,926.80,5,122734
1771897938.301,5,15,-22.60,-764.90,934.00,5,122734
1771897938.301,6,0,-2067.50,-265.10,1801.40,5,122718
1771897938.301,6,1,-2341.30,-824.80,1875.40,255,122718
1771897938.301,6,2,-2715.60,-1749.30,2052.20,255,122718
1771897938.301,6,3,-816.00,-508.00,1558.80,255,122718
1771897938.301,6,4,-2121.80,-242.70,1357.20,5,122718
1771897938.301,6,5,-2583.70,-911.90,1310.80,255,122718
1771897938.301,6,6,-2430.80,-1553.10,1302.80,5,122718
1771897938.301,6,7,-2099.10,-2187.00,1325.80,255,122718
1771897938.301,6,8,-1701.40,-162.50,1022.00,5,122718
1771897938.301,6,9,-1694.70,-533.40,977.60,5,122718
1771897938.301,6,10,-3275.30,-2227.70,276.20,255,122718
1771897938.301,6,11,-2099.30,-2269.90,564.70,255,122718
1771897938.301,6,12,-1161.20,-83.60,949.70,5,122718
1771897938.301,6,13,-1207.80,-327.90,870.60,255,122718
1771897938.301,6,14,-1936.90,-1207.60,183.50,255,122718
1771897938.301,6,15,-1533.70,-1578.10,224.10,255,122718
1771897938.302,7,0,-1176.10,564.50,836.30,5,122753
1771897938.302,7,1,-1014.50,781.60,798.70,5,122753
1771897938.302,7,2,-861.30,1131.60,653.50,255,122753
1771897938.302,7,3,-636.50,2302.70,-1.70,255,122753
1771897938.302,7,4,-853.90,349.10,1246.90,255,122753
1771897938.302,7,5,-743.10,443.10,1243.90,255,122753
1771897938.302,7,6,-728.50,783.40,1153.00,255,122753
1771897938.302,7,7,-656.30,2056.40,795.70,255,122753
1771897938.302,7,8,-4006.00,2796.90,1271.30,255,122753
1771897938.302,7,9,-946.30,714.00,1373.10,255,122753
1771897938.302,7,10,-744.50,808.70,1373.90,255,122753
1771897938.302,7,11,-978.30,4165.90,1282.20,2,122753
1771897938.302,7,12,-767.00,304.20,1514.40,255,122753
1771897938.302,7,13,-2076.30,2216.80,2022.80,255,122753
1771897938.302,7,14,-1443.10,2449.20,1996.90,10,122753
1771897938.302,7,15,-505.60,590.30,1543.90,255,122753
1771897938.302,8,0,-780.60,1021.40,759.60,5,122768
1771897938.302,8,1,-491.00,1089.10,751.60,5,122768
