local_time_s,sid,cell,valid,x_mm,y_mm,z_mm,target_status,sensor_ts_ms
1771900220.129,4,0,1,679.40,-472.10,418.70,5,1445077
1771900220.129,4,1,1,690.70,-653.80,448.30,5,1445077
1771900220.129,4,2,1,909.00,-1103.80,366.30,255,1445077
1771900220.129,4,3,1,770.70,-1389.60,434.70,5,1445077
1771900220.129,4,4,1,761.30,-429.00,573.90,5,1445077
1771900220.129,4,5,1,733.30,-600.10,630.80,5,1445077
1771900220.129,4,6,1,3190.30,-2853.60,434.10,255,1445077
1771900220.129,4,7,1,1874.90,-2708.20,770.60,255,1445077
1771900220.129,4,8,1,768.50,-372.60,744.50,5,1445077
1771900220.129,4,9,1,1520.00,-826.00,868.30,5,1445077
1771900220.129,4,10,1,3427.50,-2582.30,1432.30,255,1445077
1771900220.129,4,11,1,1972.10,-2435.40,1490.20,255,1445077
1771900220.129,4,12,1,772.40,-316.20,914.20,5,1445077
1771900220.129,4,13,1,780.80,-481.40,985.50,5,1445077
1771900220.129,4,14,0,0.00,0.00,0.00,255,1445077
1771900220.129,4,15,1,2879.20,-2913.40,2839.60,255,1445077
1771900220.129,2,0,1,1794.90,-435.80,1502.80,255,1441689
1771900220.129,2,1,1,2056.20,4.70,1560.60,255,1441689
1771900220.129,2,2,1,2069.00,517.70,1565.90,5,1441689
1771900220.129,2,3,1,1946.00,1019.10,1570.50,5,1441689
1771900220.129,2,4,1,1160.30,-172.90,898.40,5,1441689
1771900220.129,2,5,1,1393.10,92.00,919.10,5,1441689
1771900220.129,2,6,1,2257.20,542.50,1033.80,255,1441689
1771900220.129,2,7,1,2352.90,1187.60,1068.30,255,1441689
1771900220.129,2,8,1,1164.00,-174.50,599.70,5,1441689
1771900220.129,2,9,1,1310.60,102.90,590.40,5,1441689
1771900220.129,2,10,1,1419.70,432.20,576.00,5,1441689
1771900220.129,2,11,1,1146.60,687.90,602.20,5,1441689
1771900220.129,2,12,1,1211.10,-194.00,257.60,5,1441689
1771900220.129,2,13,1,1927.00,21.70,-8.00,255,1441689
1771900220.129,2,14,1,1719.10,471.60,78.80,255,1441689
1771900220.129,2,15,1,1569.60,863.20,96.80,5,1441689
1771900220.129,3,0,1,1408.30,-796.30,1329.40,255,1445092
1771900220.129,3,1,1,1546.00,-448.80,1347.40,255,1445092
1771900220.129,3,2,1,1621.10,-62.00,1378.80,5,1445092
1771900220.129,3,3,1,1872.60,468.00,1537.60,5,1445092
1771900220.129,3,4,1,2516.00,-1255.20,1091.50,255,1445092
1771900220.129,3,5,1,899.70,-363.70,853.60,255,1445092
1771900220.129,3,6,1,2034.00,-7.60,1004.20,255,1445092
1771900220.129,3,7,1,1340.80,247.70,924.10,5,1445092
1771900220.129,3,8,1,1763.10,-943.30,514.40,5,1445092
1771900220.129,3,9,1,851.50,-357.40,651.40,10,1445092
1771900220.129,3,10,1,764.00,-174.80,663.00,10,1445092
1771900220.129,3,11,1,1975.60,510.60,484.10,5,1445092
1771900220.129,3,12,1,784.30,-537.90,448.90,255,1445092
1771900220.129,3,13,1,727.10,-341.00,493.30,5,1445092
1771900220.129,3,14,1,739.90,-178.00,487.90,5,1445092
1771900220.129,3,15,1,2012.60,526.00,-101.80,5,1445092
1771900220.129,1,0,1,1955.50,542.50,1523.90,255,1441705
1771900220.129,1,1,1,2809.90,1420.30,1963.60,255,1441705
1771900220.129,1,2,1,1758.10,1569.50,1614.20,4,1441705
