time_ms,s1_c01,s1_c02,s1_c03,s1_c04,s1_c05,s1_c06,s1_c07,s1_c08,s1_c09,s1_c10,s1_c11,s1_c12,s1_c13,s1_c14,s1_c15,s1_c16,s2_c01,s2_c02,s2_c03,s2_c04,s2_c05,s2_c06,s2_c07,s2_c08,s2_c09,s2_c10,s2_c11,s2_c12,s2_c13,s2_c14,s2_c15,s2_c16,s3_c01,s3_c02,s3_c03,s3_c04,s3_c05,s3_c06,s3_c07,s3_c08,s3_c09,s3_c10,s3_c11,s3_c12,s3_c13,s3_c14,s3_c15,s3_c16,s4_c01,s4_c02,s4_c03,s4_c04,s4_c05,s4_c06,s4_c07,s4_c08,s4_c09,s4_c10,s4_c11,s4_c12,s4_c13,s4_c14,s4_c15,s4_c16,s5_c01,s5_c02,s5_c03,s5_c04,s5_c05,s5_c06,s5_c07,s5_c08,s5_c09,s5_c10,s5_c11,s5_c12,s5_c13,s5_c14,s5_c15,s5_c16,s6_c01,s6_c02,s6_c03,s6_c04,s6_c05,s6_c06,s6_c07,s6_c08,s6_c09,s6_c10,s6_c11,s6_c12,s6_c13,s6_c14,s6_c15,s6_c16
0,500.0,532.088886237956,652.7036446661393,999.9999999999998,500.0,532.088886237956,652.7036446661393,999.9999999999998,500.0,532.088886237956,652.7036446661393,999.9999999999998,500.0,532.088886237956,652.7036446661393,999.9999999999998,999.9999999999998,652.7036446661393,532.088886237956,500.0,999.9999999999998,652.7036446661393,532.088886237956,500.0,999.9999999999998,652.7036446661393,532.088886237956,500.0,999.9999999999998,652.7036446661393,532.088886237956,500.0,3000.0,3000.0,3000.0,1000.0000000000002,3000.0,3000.0,3000.0,1000.0000000000002,3000.0,3000.0,3000.0,1000.0000000000002,3000.0,3000.0,3000.0,1000.0000000000002,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,1000.0000000000002,3000.0,3000.0,3000.0,1000.0000000000002,3000.0,3000.0,3000.0,1000.0000000000002,3000.0,3000.0,3000.0,1000.0000000000002,3000.0,3000.0,3000.0
67,516.6666666666666,549.8251824458879,674.4604328216773,1033.333333333333,516.6666666666666,549.8251824458879,674.4604328216773,1033.333333333333,516.6666666666666,549.8251824458879,674.4604328216773,1033.333333333333,516.6666666666666,549.8251824458879,674.4604328216773,1033.333333333333,1033.333333333333,674.4604328216773,549.8251824458879,516.6666666666666,1033.333333333333,674.4604328216773,549.8251824458879,516.6666666666666,1033.333333333333,674.4604328216773,549.8251824458879,516.6666666666666,1033.333333333333,674.4604328216773,549.8251824458879,516.6666666666666,3000.0,3000.0,3000.0,1033.3333333333335,3000.0,3000.0,3000.0,1033.3333333333335,3000.0,3000.0,3000.0,1033.3333333333335,3000.0,3000.0,3000.0,1033.3333333333335,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,1033.3333333333335,3000.0,3000.0,3000.0,1033.3333333333335,3000.0,3000.0,3000.0,1033.3333333333335,3000.0,3000.0,3000.0,1033.3333333333335,3000.0,3000.0,3000.0
133,533.3333333333334,567.5614786538198,696.2172209772153,1066.6666666666665,533.3333333333334,567.5614786538198,696.2172209772153,1066.6666666666665,533.3333333333334,567.5614786538198,696.2172209772153,1066.6666666666665,533.3333333333334,567.5614786538198,696.2172209772153,1066.6666666666665,1066.6666666666665,696.2172209772153,567.5614786538198,533.3333333333334,1066.6666666666665,696.2172209772153,567.5614786538198,533.3333333333334,1066.6666666666665,696.2172209772153,567.5614786538198,533.3333333333334,1066.6666666666665,696.2172209772153,567.5614786538198,533.3333333333334,3000.0,3000.0,3000.0,1066.666666666667,3000.0,3000.0,3000.0,1066.666666666667,3000.0,3000.0,3000.0,1066.666666666667,3000.0,3000.0,3000.0,1066.666666666667,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,1066.666666666667,3000.0,3000.0,3000.0,1066.666666666667,3000.0,3000.0,3000.0,1066.666666666667,3000.0,3000.0,3000.0,1066.666666666667,3000.0,3000.0,3000.0
200,550.0,585.2977748617517,717.9740091327533,1099.9999999999998,550.0,585.2977748617517,717.9740091327533,1099.9999999999998,550.0,585.2977748617517,717.9740091327533,1099.9999999999998,550.0,585.2977748617517,717.9740091327533,1099.9999999999998,1099.9999999999998,717.9740091327533,585.2977748617517,550.0,1099.9999999999998,717.9740091327533,585.2977748617517,550.0,1099.9999999999998,717.9740091327533,585.2977748617517,550.0,1099.9999999999998,717.9740091327533,585.2977748617517,550.0,3000.0,3000.0,3000.0,1100.0000000000002,3000.0,3000.0,3000.0,1100.0000000000002,3000.0,3000.0,3000.0,1100.0000000000002,3000.0,3000.0,3000.0,1100.0000000000002,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,1100.0000000000002,3000.0,3000.0,3000.0,1100.0000000000002,3000.0,3000.0,3000.0,1100.0000000000002,3000.0,3000.0,3000.0,1100.0000000000002,3000.0,3000.0,3000.0
267,566.6666666666666,603.0340710696836,739.7307972882911,1133.333333333333,566.6666666666666,603.0340710696836,739.7307972882911,1133.333333333333,566.6666666666666,603.0340710696836,739.7307972882911,1133.333333333333,566.6666666666666,603.0340710696836,739.7307972882911,1133.333333333333,1133.333333333333,739.7307972882911,603.0340710696836,566.6666666666666,1133.333333333333,739.7307972882911,603.0340710696836,566.6666666666666,1133.333333333333,739.7307972882911,603.0340710696836,566.6666666666666,1133.333333333333,739.7307972882911,603.0340710696836,566.6666666666666,3000.0,3000.0,3000.0,1133.3333333333335,3000.0,3000.0,3000.0,1133.3333333333335,3000.0,3000.0,3000.0,1133.3333333333335,3000.0,3000.0,3000.0,1133.3333333333335,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,1133.3333333333335,3000.0,3000.0,3000.0,1133.3333333333335,3000.0,3000.0,3000.0,1133.3333333333335,3000.0,3000.0,3000.0,1133.3333333333335,3000.0,3000.0,3000.0
333,583.3333333333333,620.7703672776153,761.4875854438291,3000.0,583.3333333333333,620.7703672776153,761.4875854438291,3000.0,583.3333333333333,620.7703672776153,761.4875854438291,3000.0,583.3333333333333,620.7703672776153,761.4875854438291,3000.0,3000.0,761.4875854438291,620.7703672776153,583.3333333333333,3000.0,761.4875854438291,620.7703672776153,583.3333333333333,3000.0,761.4875854438291,620.7703672776153,583.3333333333333,3000.0,761.4875854438291,620.7703672776153,583.3333333333333,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
400,600.0,638.5066634855472,783.2443735993671,3000.0,600.0,638.5066634855472,783.2443735993671,3000.0,600.0,638.5066634855472,783.2443735993671,3000.0,600.0,638.5066634855472,783.2443735993671,3000.0,3000.0,783.2443735993671,638.5066634855472,600.0,3000.0,783.2443735993671,638.5066634855472,600.0,3000.0,783.2443735993671,638.5066634855472,600.0,3000.0,783.2443735993671,638.5066634855472,600.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
467,616.6666666666667,656.2429596934792,805.0011617549052,3000.0,616.6666666666667,656.2429596934792,805.0011617549052,3000.0,616.6666666666667,656.2429596934792,805.0011617549052,3000.0,616.6666666666667,656.2429596934792,805.0011617549052,3000.0,3000.0,805.0011617549052,656.2429596934792,616.6666666666667,3000.0,805.0011617549052,656.2429596934792,616.6666666666667,3000.0,805.0011617549052,656.2429596934792,616.6666666666667,3000.0,805.0011617549052,656.2429596934792,616.6666666666667,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
533,633.3333333333333,673.979255901411,826.757949910443,3000.0,633.3333333333333,673.979255901411,826.757949910443,3000.0,633.3333333333333,673.979255901411,826.757949910443,3000.0,633.3333333333333,673.979255901411,826.757949910443,3000.0,3000.0,826.757949910443,673.979255901411,633.3333333333333,3000.0,826.757949910443,673.979255901411,633.3333333333333,3000.0,826.757949910443,673.979255901411,633.3333333333333,3000.0,826.757949910443,673.979255901411,633.3333333333333,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
600,650.0,691.7155521093429,848.5147380659811,3000.0,650.0,691.7155521093429,848.5147380659811,3000.0,650.0,691.7155521093429,848.5147380659811,3000.0,650.0,691.7155521093429,848.5147380659811,3000.0,3000.0,848.5147380659811,691.7155521093429,650.0,3000.0,848.5147380659811,691.7155521093429,650.0,3000.0,848.5147380659811,691.7155521093429,650.0,3000.0,848.5147380659811,691.7155521093429,650.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
