time_ms,s1_c01,s1_c02,s1_c03,s1_c04,s1_c05,s1_c06,s1_c07,s1_c08,s1_c09,s1_c10,s1_c11,s1_c12,s1_c13,s1_c14,s1_c15,s1_c16,s2_c01,s2_c02,s2_c03,s2_c04,s2_c05,s2_c06,s2_c07,s2_c08,s2_c09,s2_c10,s2_c11,s2_c12,s2_c13,s2_c14,s2_c15,s2_c16,s3_c01,s3_c02,s3_c03,s3_c04,s3_c05,s3_c06,s3_c07,s3_c08,s3_c09,s3_c10,s3_c11,s3_c12,s3_c13,s3_c14,s3_c15,s3_c16,s4_c01,s4_c02,s4_c03,s4_c04,s4_c05,s4_c06,s4_c07,s4_c08,s4_c09,s4_c10,s4_c11,s4_c12,s4_c13,s4_c14,s4_c15,s4_c16,s5_c01,s5_c02,s5_c03,s5_c04,s5_c05,s5_c06,s5_c07,s5_c08,s5_c09,s5_c10,s5_c11,s5_c12,s5_c13,s5_c14,s5_c15,s5_c16,s6_c01,s6_c02,s6_c03,s6_c04,s6_c05,s6_c06,s6_c07,s6_c08,s6_c09,s6_c10,s6_c11,s6_c12,s6_c13,s6_c14,s6_c15,s6_c16
0,2000.0,2128.355544951824,3000.0,3000.0,2000.0,2128.355544951824,3000.0,3000.0,2000.0,2128.355544951824,3000.0,3000.0,2000.0,2128.355544951824,3000.0,3000.0,3000.0,3000.0,2128.355544951824,2000.0,3000.0,3000.0,2128.355544951824,2000.0,3000.0,3000.0,2128.355544951824,2000.0,3000.0,3000.0,2128.355544951824,2000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
67,1983.3333333333337,2110.6192487438925,3000.0,3000.0,1983.3333333333337,2110.6192487438925,3000.0,3000.0,1983.3333333333337,2110.6192487438925,3000.0,3000.0,1983.3333333333337,2110.6192487438925,3000.0,3000.0,3000.0,3000.0,2110.6192487438925,1983.3333333333337,3000.0,3000.0,2110.6192487438925,1983.3333333333337,3000.0,3000.0,2110.6192487438925,1983.3333333333337,3000.0,3000.0,2110.6192487438925,1983.3333333333337,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
133,1966.6666666666665,2092.88295253596,3000.0,3000.0,1966.6666666666665,2092.88295253596,3000.0,3000.0,1966.6666666666665,2092.88295253596,3000.0,3000.0,1966.6666666666665,2092.88295253596,3000.0,3000.0,3000.0,3000.0,2092.88295253596,1966.6666666666665,3000.0,3000.0,2092.88295253596,1966.6666666666665,3000.0,3000.0,2092.88295253596,1966.6666666666665,3000.0,3000.0,2092.88295253596,1966.6666666666665,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
200,1950.0,2075.1466563280287,3000.0,3000.0,1950.0,2075.1466563280287,3000.0,3000.0,1950.0,2075.1466563280287,3000.0,3000.0,1950.0,2075.1466563280287,3000.0,3000.0,3000.0,3000.0,2075.1466563280287,1950.0,3000.0,3000.0,2075.1466563280287,1950.0,3000.0,3000.0,2075.1466563280287,1950.0,3000.0,3000.0,2075.1466563280287,1950.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
267,1933.3333333333335,2057.410360120097,3000.0,3000.0,1933.3333333333335,2057.410360120097,3000.0,3000.0,1933.3333333333335,2057.410360120097,3000.0,3000.0,1933.3333333333335,2057.410360120097,3000.0,3000.0,3000.0,3000.0,2057.410360120097,1933.3333333333335,3000.0,3000.0,2057.410360120097,1933.3333333333335,3000.0,3000.0,2057.410360120097,1933.3333333333335,3000.0,3000.0,2057.410360120097,1933.3333333333335,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
333,1916.6666666666667,2039.6740639121647,3000.0,3000.0,1916.6666666666667,2039.6740639121647,3000.0,3000.0,1916.6666666666667,2039.6740639121647,3000.0,3000.0,1916.6666666666667,2039.6740639121647,3000.0,3000.0,3000.0,3000.0,2039.6740639121647,1916.6666666666667,3000.0,3000.0,2039.6740639121647,1916.6666666666667,3000.0,3000.0,2039.6740639121647,1916.6666666666667,3000.0,3000.0,2039.6740639121647,1916.6666666666667,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
400,1900.0,2021.937767704233,3000.0,3000.0,1900.0,2021.937767704233,3000.0,3000.0,1900.0,2021.937767704233,3000.0,3000.0,1900.0,2021.937767704233,3000.0,3000.0,3000.0,3000.0,2021.937767704233,1900.0,3000.0,3000.0,2021.937767704233,1900.0,3000.0,3000.0,2021.937767704233,1900.0,3000.0,3000.0,2021.937767704233,1900.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
467,1883.3333333333335,2004.2014714963013,3000.0,3000.0,1883.3333333333335,2004.2014714963013,3000.0,3000.0,1883.3333333333335,2004.2014714963013,3000.0,3000.0,1883.3333333333335,2004.2014714963013,3000.0,3000.0,3000.0,3000.0,2004.2014714963013,1883.3333333333335,3000.0,3000.0,2004.2014714963013,1883.3333333333335,3000.0,3000.0,2004.2014714963013,1883.3333333333335,3000.0,3000.0,2004.2014714963013,1883.3333333333335,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
533,1866.6666666666667,1986.465175288369,3000.0,3000.0,1866.6666666666667,1986.465175288369,3000.0,3000.0,1866.6666666666667,1986.465175288369,3000.0,3000.0,1866.6666666666667,1986.465175288369,3000.0,3000.0,3000.0,3000.0,1986.465175288369,1866.6666666666667,3000.0,3000.0,1986.465175288369,1866.6666666666667,3000.0,3000.0,1986.465175288369,1866.6666666666667,3000.0,3000.0,1986.465175288369,1866.6666666666667,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
600,1850.0,1968.7288790804373,3000.0,3000.0,1850.0,1968.7288790804373,3000.0,3000.0,1850.0,1968.7288790804373,3000.0,3000.0,1850.0,1968.7288790804373,3000.0,3000.0,3000.0,3000.0,1968.7288790804373,1850.0,3000.0,3000.0,1968.7288790804373,1850.0,3000.0,3000.0,1968.7288790804373,1850.0,3000.0,3000.0,1968.7288790804373,1850.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
