ts_ms,distance_mm_0,distance_mm_1,distance_mm_2,distance_mm_3,distance_mm_4,distance_mm_5,distance_mm_6,distance_mm_7,distance_mm_8,distance_mm_9,distance_mm_10,distance_mm_11,distance_mm_12,distance_mm_13,distance_mm_14,distance_mm_15
0,1345,506,1524,634,1442,560,644,648,1322,1234,630,646,1280,1325,1348,667
67,1345,506,1303,635,1480,560,627,648,1317,1234,1845,651,1281,1391,1424,648
134,1346,506,590,636,1370,560,1291,641,1325,1234,1754,654,1325,1374,1356,649
201,1353,862,1378,641,1341,568,667,636,1319,1234,1754,661,1297,1324,1325,665
268,1344,862,1378,653,1316,568,667,646,1305,1234,1474,673,1265,1377,1327,670
336,1272,862,575,657,1279,568,665,693,1249,511,695,705,1218,1369,1386,694
403,1205,862,575,698,1212,568,665,728,1188,511,695,736,1135,1386,1368,726
470,1173,862,575,723,1214,568,524,776,1176,511,695,788,1155,1352,1458,759
537,1125,862,575,753,1153,568,524,770,1153,511,695,792,1185,1374,1291,768
604,1131,862,575,752,1135,568,524,793,1127,511,695,809,1314,1484,1316,838
671,1126,862,575,782,1139,568,524,819,1102,2029,695,829,1132,1517,1294,815
738,1141,862,575,749,1113,568,766,784,1115,2029,3616,817,1066,1313,1357,824
805,1203,862,575,714,1183,568,766,772,1196,2029,878,770,1225,1349,1363,768
872,1206,862,730,693,1210,568,766,720,1220,507,589,708,1185,1392,1323,719
940,1267,862,1682,696,1252,568,913,693,1222,507,589,724,1203,1404,1326,738
1007,1246,862,1682,699,1273,568,913,686,1211,1179,589,723,1217,1464,1348,714
1074,1205,862,1682,695,1294,568,913,703,1254,1179,589,716,1210,1306,1287,704
1141,1224,862,1682,731,1201,568,913,750,1203,2855,1320,753,1205,1479,1331,754
1208,1154,862,1682,781,1128,0,851,784,1157,1107,807,795,1095,1500,1407,797
1275,1109,862,841,818,1117,0,851,870,1126,1107,807,889,1065,1417,1262,867
1342,1085,862,841,857,1075,0,851,923,1038,2346,807,985,1047,1379,1374,914
1409,1063,862,841,878,1061,0,851,911,1033,2346,807,980,1041,1339,1293,955
1477,1072,862,841,847,1114,0,851,901,1048,2346,807,905,1045,1387,1428,933
1543,1102,862,841,818,1116,0,610,886,1075,2346,807,896,1101,1322,1346,851
1611,1110,862,841,795,1171,0,610,829,1137,2346,807,846,1130,1447,1347,851
1678,1131,862,841,784,1197,0,610,826,1143,2346,807,837,1152,1307,1303,837
1745,1130,862,841,795,1134,0,610,830,1148,4705,807,863,1139,1300,1325,864
1812,1085,862,841,817,1140,0,610,852,1113,4705,807,841,1227,1233,1361,825
1879,1089,862,841,809,1116,0,610,848,1083,4705,807,851,1102,1384,1432,859
1946,1080,862,841,835,1119,0,610,864,1095,4705,924,888,1104,1311,1336,907
2014,1071,862,4490,858,1112,4609,4486,925,1089,4705,924,890,1069,1327,1288,910
2080,1051,862,903,873,1079,4609,4486,900,1056,4705,924,956,993,1485,1307,935
2148,1022,862,1022,896,1089,4473,4443,935,1032,4705,4512,937,1074,1370,1325,954
2215,1030,862,1022,886,1053,4473,4443,960,1025,4705,4512,969,1109,1283,1286,967
2282,1029,862,675,890,1052,1922,4410,964,1006,4705,956,963,1060,1370,1259,1004
2349,1051,862,675,894,1053,1922,0,958,1057,4705,0,967,1014,1347,1360,995
2417,1040,862,675,881,1061,1922,0,925,1031,1160,4309,981,1006,1329,1304,966
2483,1030,862,675,887,1069,1922,0,910,1032,1160,0,939,1134,1418,1322,943
2551,1051,862,884,876,1104,1922,4259,914,1066,1160,4262,940,1029,1332,1342,932
2617,1058,862,884,845,1083,0,0,875,1079,1160,4204,916,1108,1252,1307,931
2685,1092,862,884,826,1092,4231,0,891,1081,1160,4204,887,1065,1267,1352,912
2752,1084,862,884,857,1089,4231,4187,883,1063,1160,4174,902,1057,1288,1318,905
2819,1068,862,884,859,1081,4238,881,893,1076,4256,1016,912,998,1276,1288,911
2886,1057,862,884,847,1074,4162,881,924,1027,4133,4092,929,1026,1418,1272,1075
2954,1052,862,854,892,1051,4159,4077,939,1036,4133,4106,932,979,1385,1337,936
3021,1055,862,854,871,1057,4076,4003,930,1016,4034,4065,955,1006,1344,1301,945
3088,1026,862,4064,881,1048,4076,4022,943,1035,4034,3944,958,1018,1375,1337,1016
3155,1081,862,878,898,1056,4076,4022,962,1032,4034,3969,988,994,1332,1458,1034
3222,1014,862,4113,953,1035,4076,4005,994,1001,4070,3934,1027,1001,1435,1230,1053
3289,990,862,3865,952,1023,4076,3901,1058,987,3936,3868,1035,950,1459,1352,1087
3356,1008,862,3865,966,1023,4035,3898,1041,985,896,3826,1034,950,1385,1383,1064
3423,1019,862,3865,941,979,3888,3850,1010,965,3837,3793,1077,963,1435,1461,1104
3490,1014,862,3863,929,996,3851,3776,1004,983,3833,3745,1001,994,1458,1324,1032
3558,1021,862,3712,937,1023,3851,3816,985,1022,3807,3768,1022,980,1371,1349,1069
3625,1020,862,3895,953,1039,3845,3738,1008,974,3807,3700,1045,962,1332,1301,1083
3692,975,862,3895,926,971,1091,3681,1012,983,3708,3667,1060,1090,1404,1296,1099
3759,986,862,3737,981,988,3721,3570,1091,950,3705,3646,1048,994,1341,1329,1105
3826,954,862,3730,941,994,3688,3605,1042,951,3683,3582,1081,930,1393,1500,1091
3893,981,862,3713,1012,957,3588,3532,1095,946,3683,3540,1065,1066,1335,1327,1116
3960,1014,3604,3713,1012,992,3638,3531,1048,937,3614,3510,1055,934,1349,1303,1096
4027,996,3604,3713,992,960,3608,3506,1038,969,3590,3466,1086,996,1391,1343,1152
4095,969,3668,3554,965,993,3608,3492,1053,948,3514,3442,1085,967,1450,1281,1066
4161,991,3668,3554,948,983,3444,3404,1050,969,3467,3400,1075,935,1384,1295,1130
4229,1010,3565,3554,997,970,3454,3348,1037,964,3426,3343,1064,965,1376,1322,1095
4296,984,3482,3449,985,967,3354,3294,1055,970,3392,3293,1078,1000,1319,1316,1091
4363,987,3384,3380,969,952,3418,3262,1052,940,3348,3265,1077,958,1382,1271,1182
4430,989,3384,3280,1009,952,3244,3203,1092,926,3257,3204,1120,965,1325,1336,1138
4497,966,3384,3324,1019,953,3236,3178,1057,937,3206,3142,1110,909,1284,1242,1145
4564,950,3310,3254,999,955,3179,3108,1051,916,3189,3107,1101,910,1319,1291,1103
4631,924,3256,3091,984,930,3109,3091,1041,905,3106,3036,1114,922,1303,1283,1105
4698,920,3092,3123,1002,901,3067,3030,1109,903,3079,3024,1094,907,1275,1300,1099
4766,911,3143,3004,993,901,3020,2983,1085,879,2978,2959,1118,867,1475,1251,1138
4833,901,3073,3004,996,890,2974,2942,1076,886,3015,2907,1063,854,1329,1394,1130
4900,885,3051,2865,1002,857,2912,2891,1065,864,2937,2884,1139,854,1317,1333,1104
4967,881,2990,2889,1006,840,2882,2870,1053,857,2882,2801,1109,854,1373,1334,1125
5034,841,2909,2919,1002,2961,2865,2765,1061,813,2817,2789,1067,828,1298,1319,1117
5102,2984,2803,2812,984,2937,2776,2749,1052,3003,2775,2735,1095,794,1238,1307,1111
5168,2873,2785,2769,988,2858,2737,2673,1067,2833,2746,2736,1031,1324,1310,1348,1123
5236,2864,2751,2677,996,2809,2692,2652,1042,2811,2695,2679,1095,1260,1302,1379,1121
5302,2853,2769,2655,954,2702,2648,2604,1044,2751,2623,2593,1077,1320,1344,1283,1091
5370,2745,2662,2621,980,2632,2584,2542,1033,2718,2613,2548,1109,1402,1417,1281,1103
5437,2755,2612,2570,967,2636,2520,2519,1046,2679,2534,2523,1070,1335,1332,1262,1113
5504,2738,2557,2523,974,2561,2498,2451,1073,2614,2487,2475,1051,1376,1450,1319,1121
5571,2623,2543,2480,966,2563,2436,2422,1040,2548,2434,2408,1090,1278,1264,1287,1090
5638,2632,2489,2412,1032,2456,2372,2344,1070,2515,2399,2359,1084,1353,1309,1304,1135
5705,2468,2431,2367,1029,2418,2350,2308,1086,2459,2330,2304,1085,1316,1324,1293,1121
5773,2454,2356,2319,1032,2421,2303,2245,1093,2421,2277,2243,1095,2334,1378,1350,1105
5840,2372,2298,2285,1014,2345,2210,2194,1076,2335,2243,2203,1121,1391,1317,1344,1136
5907,2277,2260,2201,1027,2299,2188,2160,1070,2282,2190,2142,1108,1325,1365,1309,1150
5974,2315,2155,2151,1056,2216,2099,2093,1083,2241,2122,2106,1087,1284,1378,1278,1126
6041,2216,2132,2088,1012,2156,2046,2024,1058,2187,2063,2044,1069,1359,2055,2063,1160
6108,2145,2086,2068,1004,2092,2010,1991,1070,2116,2011,1997,1084,2091,1991,1995,1126
6176,2112,2011,1986,1007,2077,1991,1962,1078,2062,1979,1973,1108,2002,2006,1990,1147
6243,2069,1992,1969,1030,2022,1913,1918,1088,2022,1941,1920,1069,1996,1900,1957,1209
6310,2035,1966,1898,1007,1990,1868,1874,1080,1975,1869,1862,1116,1942,1857,1842,1127
6377,1981,1893,1871,1036,1902,1841,1812,1102,1948,1814,1825,1156,1901,1818,1804,1170
6444,1916,1852,1832,1055,1854,1771,1771,1112,1890,1789,1773,1134,1892,1801,1798,1168
6511,1889,1807,1784,1012,1832,1749,1711,1070,1854,1738,1734,1120,1825,1730,1696,1136
6578,1838,1756,1731,1019,1801,1692,1674,1088,1795,1699,1692,1670,1780,1670,1665,1152
6645,1792,1725,1699,1040,1732,1645,1636,1588,1766,1671,1646,1625,1729,1634,1634,1128
6712,1748,1656,1661,1025,1680,1612,1592,1551,1704,1615,1599,1576,1678,1628,1566,1131
