time_ms,s1_c01,s1_c02,s1_c03,s1_c04,s1_c05,s1_c06,s1_c07,s1_c08,s1_c09,s1_c10,s1_c11,s1_c12,s1_c13,s1_c14,s1_c15,s1_c16,s2_c01,s2_c02,s2_c03,s2_c04,s2_c05,s2_c06,s2_c07,s2_c08,s2_c09,s2_c10,s2_c11,s2_c12,s2_c13,s2_c14,s2_c15,s2_c16,s3_c01,s3_c02,s3_c03,s3_c04,s3_c05,s3_c06,s3_c07,s3_c08,s3_c09,s3_c10,s3_c11,s3_c12,s3_c13,s3_c14,s3_c15,s3_c16,s4_c01,s4_c02,s4_c03,s4_c04,s4_c05,s4_c06,s4_c07,s4_c08,s4_c09,s4_c10,s4_c11,s4_c12,s4_c13,s4_c14,s4_c15,s4_c16,s5_c01,s5_c02,s5_c03,s5_c04,s5_c05,s5_c06,s5_c07,s5_c08,s5_c09,s5_c10,s5_c11,s5_c12,s5_c13,s5_c14,s5_c15,s5_c16,s6_c01,s6_c02,s6_c03,s6_c04,s6_c05,s6_c06,s6_c07,s6_c08,s6_c09,s6_c10,s6_c11,s6_c12,s6_c13,s6_c14,s6_c15,s6_c16
0,3000.0,2128.355544951824,2610.8145786645578,3000.0,3000.0,2128.355544951824,2610.8145786645578,3000.0,3000.0,2128.355544951824,2610.8145786645578,3000.0,3000.0,2128.355544951824,2610.8145786645578,3000.0,3000.0,2610.8145786645578,2128.355544951824,3000.0,3000.0,2610.8145786645578,2128.355544951824,3000.0,3000.0,2610.8145786645578,2128.355544951824,3000.0,3000.0,2610.8145786645578,2128.355544951824,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
67,3000.0,2103.524730260719,2580.355075246804,3000.0,3000.0,2103.524730260719,2580.355075246804,3000.0,3000.0,2103.524730260719,2580.355075246804,3000.0,3000.0,2103.524730260719,2580.355075246804,3000.0,3000.0,2580.355075246804,2103.524730260719,3000.0,3000.0,2580.355075246804,2103.524730260719,3000.0,3000.0,2580.355075246804,2103.524730260719,3000.0,3000.0,2580.355075246804,2103.524730260719,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
133,3000.0,2078.6939155696145,2549.895571829051,3000.0,3000.0,2078.6939155696145,2549.895571829051,3000.0,3000.0,2078.6939155696145,2549.895571829051,3000.0,3000.0,2078.6939155696145,2549.895571829051,3000.0,3000.0,2549.895571829051,2078.6939155696145,3000.0,3000.0,2549.895571829051,2078.6939155696145,3000.0,3000.0,2549.895571829051,2078.6939155696145,3000.0,3000.0,2549.895571829051,2078.6939155696145,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
200,3000.0,2053.86310087851,2519.4360684112976,3000.0,3000.0,2053.86310087851,2519.4360684112976,3000.0,3000.0,2053.86310087851,2519.4360684112976,3000.0,3000.0,2053.86310087851,2519.4360684112976,3000.0,3000.0,2519.4360684112976,2053.86310087851,3000.0,3000.0,2519.4360684112976,2053.86310087851,3000.0,3000.0,2519.4360684112976,2053.86310087851,3000.0,3000.0,2519.4360684112976,2053.86310087851,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
267,3000.0,2046.6630801141612,2488.976564993545,3000.0,3000.0,2046.6630801141612,2488.976564993545,3000.0,3000.0,2046.6630801141612,2488.976564993545,3000.0,3000.0,2046.6630801141612,2488.976564993545,3000.0,3000.0,2488.976564993545,2046.6630801141612,3000.0,3000.0,2488.976564993545,2046.6630801141612,3000.0,3000.0,2488.976564993545,2046.6630801141612,3000.0,3000.0,2488.976564993545,2046.6630801141612,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
333,3000.0,2046.6630801141612,2458.517061575791,3000.0,3000.0,2046.6630801141612,2458.517061575791,3000.0,3000.0,2046.6630801141612,2458.517061575791,3000.0,3000.0,2046.6630801141612,2458.517061575791,3000.0,3000.0,2458.517061575791,2046.6630801141612,3000.0,3000.0,2458.517061575791,2046.6630801141612,3000.0,3000.0,2458.517061575791,2046.6630801141612,3000.0,3000.0,2458.517061575791,2046.6630801141612,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
400,3000.0,2046.6630801141612,2428.0575581580383,3000.0,3000.0,2046.6630801141612,2428.0575581580383,3000.0,3000.0,2046.6630801141612,2428.0575581580383,3000.0,3000.0,2046.6630801141612,2428.0575581580383,3000.0,3000.0,2428.0575581580383,2046.6630801141612,3000.0,3000.0,2428.0575581580383,2046.6630801141612,3000.0,3000.0,2428.0575581580383,2046.6630801141612,3000.0,3000.0,2428.0575581580383,2046.6630801141612,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
467,3000.0,2046.6630801141612,2397.598054740285,3000.0,3000.0,2046.6630801141612,2397.598054740285,3000.0,3000.0,2046.6630801141612,2397.598054740285,3000.0,3000.0,2046.6630801141612,2397.598054740285,3000.0,3000.0,2397.598054740285,2046.6630801141612,3000.0,3000.0,2397.598054740285,2046.6630801141612,3000.0,3000.0,2397.598054740285,2046.6630801141612,3000.0,3000.0,2397.598054740285,2046.6630801141612,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
533,3000.0,2046.6630801141612,2367.1385513225323,3000.0,3000.0,2046.6630801141612,2367.1385513225323,3000.0,3000.0,2046.6630801141612,2367.1385513225323,3000.0,3000.0,2046.6630801141612,2367.1385513225323,3000.0,3000.0,2367.1385513225323,2046.6630801141612,3000.0,3000.0,2367.1385513225323,2046.6630801141612,3000.0,3000.0,2367.1385513225323,2046.6630801141612,3000.0,3000.0,2367.1385513225323,2046.6630801141612,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
600,3000.0,2046.6630801141612,2336.6790479047786,3000.0,3000.0,2046.6630801141612,2336.6790479047786,3000.0,3000.0,2046.6630801141612,2336.6790479047786,3000.0,3000.0,2046.6630801141612,2336.6790479047786,3000.0,3000.0,2336.6790479047786,2046.6630801141612,3000.0,3000.0,2336.6790479047786,2046.6630801141612,3000.0,3000.0,2336.6790479047786,2046.6630801141612,3000.0,3000.0,2336.6790479047786,2046.6630801141612,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
