time_ms,s1_c01,s1_c02,s1_c03,s1_c04,s1_c05,s1_c06,s1_c07,s1_c08,s1_c09,s1_c10,s1_c11,s1_c12,s1_c13,s1_c14,s1_c15,s1_c16,s2_c01,s2_c02,s2_c03,s2_c04,s2_c05,s2_c06,s2_c07,s2_c08,s2_c09,s2_c10,s2_c11,s2_c12,s2_c13,s2_c14,s2_c15,s2_c16,s3_c01,s3_c02,s3_c03,s3_c04,s3_c05,s3_c06,s3_c07,s3_c08,s3_c09,s3_c10,s3_c11,s3_c12,s3_c13,s3_c14,s3_c15,s3_c16,s4_c01,s4_c02,s4_c03,s4_c04,s4_c05,s4_c06,s4_c07,s4_c08,s4_c09,s4_c10,s4_c11,s4_c12,s4_c13,s4_c14,s4_c15,s4_c16,s5_c01,s5_c02,s5_c03,s5_c04,s5_c05,s5_c06,s5_c07,s5_c08,s5_c09,s5_c10,s5_c11,s5_c12,s5_c13,s5_c14,s5_c15,s5_c16,s6_c01,s6_c02,s6_c03,s6_c04,s6_c05,s6_c06,s6_c07,s6_c08,s6_c09,s6_c10,s6_c11,s6_c12,s6_c13,s6_c14,s6_c15,s6_c16,s7_c01,s7_c02,s7_c03,s7_c04,s7_c05,s7_c06,s7_c07,s7_c08,s7_c09,s7_c10,s7_c11,s7_c12,s7_c13,s7_c14,s7_c15,s7_c16,s8_c01,s8_c02,s8_c03,s8_c04,s8_c05,s8_c06,s8_c07,s8_c08,s8_c09,s8_c10,s8_c11,s8_c12,s8_c13,s8_c14,s8_c15,s8_c16
0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3000.0,1963.0,2089.0,2562.5,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,2253.4,1837.0,1726.2,3000.0,2562.5,2089.0,1963.0,768.3,824.9,1039.9,1204.5,633.3,676.8,838.5,1318.5,600.2,639.1,781.5,1182.7,644.2,683.6,824.9,1204.0,1204.5,1039.9,824.9,768.3,1318.5,838.5,676.8,633.3,1182.7,781.5,639.1,600.2,1204.0,824.9,683.6,644.2,1204.5,1171.0,1171.0,1204.5,1218.5,2162.3,2162.3,2350.3,1218.5,2029.9,2029.9,2298.7,1385.6,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,1218.5,2298.7,2029.9,2029.9,1218.5,2423.0,2158.1,2158.1,1385.6
108,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3000.0,1963.0,2089.0,2562.5,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,2253.4,1837.0,1726.2,3000.0,2562.5,2089.0,1963.0,871.7,935.9,1171.0,1204.5,718.5,767.9,951.4,1495.9,681.0,725.1,886.7,1341.9,730.9,775.5,935.9,1366.0,1204.5,1171.0,935.9,871.7,1495.9,951.4,767.9,718.5,1341.9,886.7,725.1,681.0,1366.0,935.9,775.5,730.9,1204.5,1171.0,1171.0,1204.5,1382.5,2162.3,2162.3,2350.3,1382.5,2029.9,2029.9,2298.7,1572.1,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,1382.5,2298.7,2029.9,2029.9,1382.5,2423.0,2158.1,2158.1,1572.1
211,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3000.0,1963.0,2089.0,2562.5,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,2253.4,1837.0,1726.2,3000.0,2562.5,2089.0,1963.0,971.2,1042.7,1171.0,1204.5,800.5,855.5,1060.0,1666.7,758.7,807.9,987.9,1495.1,814.4,864.1,1042.7,1522.0,1204.5,1171.0,1042.7,971.2,1666.7,1060.0,855.5,800.5,1495.1,987.9,807.9,758.7,1522.0,1042.7,864.1,814.4,1204.5,1171.0,1171.0,1204.5,1540.3,2162.3,2162.3,2350.3,1540.3,2029.9,2029.9,2298.7,1751.6,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,1540.3,2298.7,2029.9,2029.9,1540.3,2423.0,2158.1,2158.1,1751.6
316,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3000.0,1963.0,2089.0,2562.5,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,2253.4,1837.0,1726.2,3000.0,2562.5,2089.0,1963.0,1071.4,1150.3,1171.0,1204.5,883.1,943.8,1169.3,1838.6,836.9,891.3,1089.8,1649.3,898.4,953.2,1150.3,1679.0,1204.5,1171.0,1150.3,1071.4,1838.6,1169.3,943.8,883.1,1649.3,1089.8,891.3,836.9,1679.0,1150.3,953.2,898.4,1204.5,1171.0,1171.0,1204.5,1699.2,2162.3,2162.3,2350.3,1699.2,2029.9,2029.9,2298.7,1932.3,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,1699.2,2298.7,2029.9,2029.9,1699.2,2423.0,2158.1,2158.1,1932.3
427,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3000.0,1963.0,2089.0,2562.5,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,2253.4,1837.0,1726.2,3000.0,2562.5,2089.0,1963.0,1178.4,1171.0,1171.0,1204.5,971.3,1038.1,1286.2,2022.3,920.6,980.3,1198.7,1814.1,988.1,1048.4,1265.2,1846.7,1204.5,1171.0,1171.0,1178.4,2022.3,1286.2,1038.1,971.3,1814.1,1198.7,980.3,920.6,1846.7,1265.2,1048.4,988.1,1204.5,1171.0,1171.0,1204.5,1869.0,2162.3,2162.3,2350.3,1869.0,2029.9,2029.9,2298.7,2125.3,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,1869.0,2298.7,2029.9,2029.9,1869.0,2423.0,2158.1,2158.1,2125.3
531,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3000.0,1963.0,2089.0,2562.5,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,2253.4,1837.0,1726.2,3000.0,2562.5,2089.0,1963.0,1204.5,1171.0,1171.0,1204.5,1053.8,1126.2,1395.4,2194.1,998.8,1063.6,1300.5,1968.2,1072.1,1137.5,1372.7,2003.6,1204.5,1171.0,1171.0,1204.5,2194.1,1395.4,1126.2,1053.8,1968.2,1300.5,1063.6,998.8,2003.6,1372.7,1137.5,1072.1,1204.5,1171.0,1171.0,1204.5,2027.7,2162.3,2162.3,2350.3,2027.7,2029.9,2029.9,2298.7,2305.8,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2027.7,2298.7,2029.9,2029.9,2027.7,2423.0,2158.1,2158.1,2305.8
634,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3000.0,1963.0,2089.0,2562.5,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,2253.4,1837.0,1726.2,3000.0,2562.5,2089.0,1963.0,1204.5,1171.0,1171.0,1204.5,1135.3,1213.3,1503.3,2350.3,1076.0,1145.8,1401.0,2120.3,1154.9,1225.4,1478.8,2158.5,1204.5,1171.0,1171.0,1204.5,2350.3,1503.3,1213.3,1135.3,2120.3,1401.0,1145.8,1076.0,2158.5,1478.8,1225.4,1154.9,1204.5,1171.0,1171.0,1204.5,2184.5,2162.3,2162.3,2350.3,2184.5,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2184.5,2298.7,2029.9,2029.9,2184.5,2423.0,2158.1,2158.1,2423.0
744,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3000.0,1963.0,2089.0,2562.5,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,2253.4,1837.0,1726.2,3000.0,2562.5,2089.0,1963.0,1204.5,1171.0,1171.0,1204.5,1221.9,1305.9,1618.0,2350.3,1158.1,1233.2,1507.9,2282.1,1243.1,1318.9,1591.6,2323.2,1204.5,1171.0,1171.0,1204.5,2350.3,1618.0,1305.9,1221.9,2282.1,1507.9,1233.2,1158.1,2323.2,1591.6,1318.9,1243.1,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0
848,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3000.0,1963.0,2089.0,2562.5,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,2253.4,1837.0,1726.2,3000.0,2562.5,2089.0,1963.0,1204.5,1171.0,1171.0,1204.5,1304.5,1394.2,1727.4,2350.3,1236.4,1316.6,1609.9,2321.6,1327.1,1408.1,1699.2,2480.2,1204.5,1171.0,1171.0,1204.5,2350.3,1727.4,1394.2,1304.5,2321.6,1609.9,1316.6,1236.4,2480.2,1699.2,1408.1,1327.1,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0
953,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3000.0,1963.0,2089.0,2562.5,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,2253.4,1837.0,1726.2,3000.0,2562.5,2089.0,1963.0,1204.5,1171.0,1171.0,1204.5,1387.5,1482.9,1837.3,2350.3,1315.0,1400.4,1712.3,2321.6,1411.6,1497.7,1807.4,2539.0,1204.5,1171.0,1171.0,1204.5,2350.3,1837.3,1482.9,1387.5,2321.6,1712.3,1400.4,1315.0,2539.0,1807.4,1497.7,1411.6,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0
